code,scenario,framework,E_GMI_mean,E_GMI_ci_lower,E_GMI_ci_upper,threshold_mean,threshold_ci_lower,threshold_ci_upper,success_rate_mean,ranking_match_fraction_within_scenario,seed_count
P9,balanced_types_stress_test,DBL,0.34565644192351713,0.3261930089646729,0.36511987488236136,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,balanced_types_stress_test,DMM,0.33812342557049724,0.3164938663266327,0.3597529848143618,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,balanced_types_stress_test,ISF,0.34839231434626083,0.33886228029026655,0.3579223484022551,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,baseline,DBL,0.34565644192351713,0.3261930089646729,0.36511987488236136,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,baseline,DMM,0.33812342557049724,0.3164938663266327,0.3597529848143618,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,baseline,ISF,0.34839231434626083,0.33886228029026655,0.3579223484022551,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,iran_calibrated_baseline,DBL,0.34565644192351713,0.3261930089646729,0.36511987488236136,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,iran_calibrated_baseline,DMM,0.33812342557049724,0.3164938663266327,0.3597529848143618,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,iran_calibrated_baseline,ISF,0.34839231434626083,0.33886228029026655,0.3579223484022551,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,original_draft_stress_test,DBL,0.34565644192351713,0.3261930089646729,0.36511987488236136,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,original_draft_stress_test,DMM,0.33812342557049724,0.3164938663266327,0.3597529848143618,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,original_draft_stress_test,ISF,0.34839231434626083,0.33886228029026655,0.3579223484022551,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,private_sector_heavy,DBL,0.34565644192351713,0.3261930089646729,0.36511987488236136,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,private_sector_heavy,DMM,0.33812342557049724,0.3164938663266327,0.3597529848143618,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,private_sector_heavy,ISF,0.34839231434626083,0.33886228029026655,0.3579223484022551,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,public_sector_heavy,DBL,0.34565644192351713,0.3261930089646729,0.36511987488236136,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,public_sector_heavy,DMM,0.33812342557049724,0.3164938663266327,0.3597529848143618,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,public_sector_heavy,ISF,0.34839231434626083,0.33886228029026655,0.3579223484022551,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,state_enterprise_heavy,DBL,0.34565644192351713,0.3261930089646729,0.36511987488236136,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,state_enterprise_heavy,DMM,0.33812342557049724,0.3164938663266327,0.3597529848143618,0.0,0.0,0.0,0.2791666666666667,1.0,2
P9,state_enterprise_heavy,ISF,0.34839231434626083,0.33886228029026655,0.3579223484022551,0.0,0.0,0.0,0.2791666666666667,1.0,2
