population_size,seed,success_rate,volume_success_rate,mean_operational_readiness,D1,D2,D3,D4,D5,SVC,E_GMI_DBL,E_GMI_DMM,E_GMI_ISF
20,4000,0.134,0.13704109589041097,0.13031027420968866,0.3519431356729209,0.004803000000000003,0.005376000000000003,0.004866,0.28456323537552214,0.4499999999048568,0.13367926922455856,0.11489643809310528,0.14685395066262208
20,4001,0.13450000000000004,0.13317757009345793,0.1323564713686885,0.3549899975709765,0.005037000000000003,0.0063665000000000015,0.005304000000000002,0.2900848592724658,0.4499999998452228,0.135601728283614,0.11661022257831075,0.14834798542596414
20,4002,0.1285,0.13717678100263853,0.13424395122824134,0.3588130882638085,0.004540000000000003,0.005966000000000002,0.005236000000000002,0.29666466787739837,0.4500000001101583,0.13735137224756186,0.11803039956332567,0.1495774844515174
20,4003,0.1475,0.1398176291793313,0.13450104230399862,0.35888656743211583,0.005122000000000003,0.007889500000000002,0.0050300000000000015,0.29557714408787716,0.4499999999502458,0.13766651347121056,0.11844878212561076,0.14994332789023546
20,4004,0.1265,0.12421875000000002,0.13175561990305898,0.35390607399041096,0.005503000000000003,0.0061585000000000025,0.005288000000000003,0.2879225255248839,0.4500000000961788,0.13505479732633532,0.11615203934087648,0.1479633673601885
20,4005,0.1395,0.13748387096774192,0.14164309106073486,0.37251526833971893,0.006089000000000003,0.006756578296460276,0.005645000000000001,0.31720960866749526,0.4500000000612198,0.14440837404434612,0.12409979086598806,0.15492213020010737
20,4006,0.1335,0.1272750642673522,0.1302633061625392,0.3513447005100804,0.004926000000000003,0.005954500000000001,0.004929,0.28416233030261556,0.4499999998311271,0.1336224246729124,0.11489397374853155,0.14684707311539033
20,4007,0.1385,0.14242138364779877,0.13229498368123452,0.3548044183268873,0.005331000000000003,0.006880000000000002,0.0049510000000000005,0.28950850007928514,0.4499999997646944,0.1355597795936146,0.11660461204142941,0.14834413364977542
20,4008,0.141,0.1460677966101695,0.13271814923912648,0.35466968512524266,0.005125000000000002,0.007247500000000003,0.005517000000000002,0.2910315610703897,0.4499999999841734,0.13590005544186912,0.11692925805600016,0.14861499313050486
20,4009,0.13149999999999998,0.13415760869565216,0.134388753932177,0.35782536620695654,0.005778000000000003,0.006552500000000004,0.006230000000000003,0.2955579034539285,0.4499999998960634,0.13750212706982842,0.11828732898000187,0.14983296357639053
20,4010,0.1435,0.14065104166666667,0.1428585200456367,0.3730986546196716,0.005826000000000006,0.00925900000000001,0.006689000000000001,0.31941994560851195,0.4500000000497647,0.14554245549619474,0.1252710374893492,0.15591652548976198
20,4011,0.12999999999999998,0.1311711711711712,0.13435550288345008,0.3577798098639585,0.006326000000000005,0.006437500000000002,0.006081000000000003,0.2951532045532918,0.44999999992938056,0.1374868331489834,0.11827796271646589,0.14984018242105898
20,4012,0.13449999999999998,0.13329153605015673,0.12997874997281791,0.3505399536247659,0.004913000000000004,0.005686500000000001,0.005042000000000001,0.2837122962393237,0.44999999997571705,0.13332013284209002,0.11462086534616736,0.14660752034645724
20,4013,0.1285,0.1322508591065292,0.13059423054070457,0.35172586565092234,0.0043380000000000024,0.006174500000000002,0.0052780000000000014,0.2854547870526006,0.4500000000295988,0.13390778447062066,0.11514490488951498,0.14704875183840443
20,4014,0.11549999999999999,0.11825159914712154,0.13164682904965536,0.35353911548122696,0.004700000000000004,0.006308000000000003,0.005036000000000001,0.28865102976704976,0.4499999997606246,0.1348912333353642,0.1159785689779159,0.14778172604901285
20,4015,0.1265,0.1275287356321839,0.1329234832600559,0.3562668944857338,0.005555000000000004,0.005416500000000002,0.0050370000000000015,0.2923420218145457,0.44999999990613154,0.13611972689361532,0.11697885940460692,0.14868928106921453
20,4016,0.12250000000000001,0.11714714714714715,0.13160076485776137,0.353829355226165,0.005496000000000002,0.005388500000000001,0.004864,0.2884259690626418,0.44999999995503065,0.13487093416593754,0.1159160944372733,0.14775816794700025
20,4017,0.1435,0.15147843942505135,0.1346437836197664,0.3593153669290038,0.005586000000000002,0.006572000000000003,0.005272,0.296473551169828,0.4499999998934492,0.13778587440772516,0.1184805268647602,0.14999642849212852
20,4018,0.13,0.1258307210031348,0.1334996610999872,0.3573771972367338,0.004594000000000002,0.006090500000000003,0.005293,0.2941436082632022,0.4500000000325551,0.13666134054866377,0.11746519638366569,0.14908530027692252
20,4019,0.142,0.14715447154471548,0.13842550241100782,0.3608458172532746,0.005158000000000003,0.021399040686849596,0.005424000000000001,0.29930065411491497,0.4500000000428549,0.14150276056792582,0.12266280805435409,0.15349543700380183
20,4020,0.13249999999999998,0.13726470588235296,0.13377318317812256,0.35775383113548054,0.005183000000000004,0.006220000000000003,0.0053560000000000005,0.2943530847551322,0.45000000005092694,0.13694322049714003,0.1177359330204216,0.14933787470770207
20,4021,0.13649999999999998,0.13354114713216958,0.13361745894955462,0.35756418536767653,0.0052080000000000026,0.006916000000000002,0.005703000000000003,0.2926961093800966,0.4499999999894196,0.1368608627489336,0.11774375390650045,0.14934784801048692
20,4022,0.13799999999999998,0.14152905198776758,0.13611251988881426,0.3613708065798821,0.005668000000000004,0.007679000000000004,0.005348000000000003,0.30049679286418923,0.44999999999196155,0.1391562205745989,0.11971431259127677,0.1510628406015915
20,4023,0.136,0.1389173789173789,0.1331026382195955,0.356560592226588,0.005754000000000005,0.007201000000000004,0.005397000000000001,0.29060059887138956,0.44999999994760786,0.13640063788735543,0.1173817821544161,0.14904257832721732
20,4024,0.1215,0.12071641791044777,0.13142240652744955,0.35292045106510506,0.005529000000000002,0.006869500000000003,0.004384000000000001,0.2874090815721429,0.4499999999678732,0.13469797500209768,0.11585054902298021,0.1476814983670226
20,4025,0.149,0.15254491017964072,0.1363639344457929,0.36212966809274016,0.005569000000000005,0.006801500000000003,0.006432000000000002,0.30088750413622434,0.4500000000154462,0.13942604264361871,0.11993622747674974,0.15127518403371507
20,4026,0.12050000000000001,0.12059620596205961,0.13067781592288066,0.351883816083021,0.005340000000000003,0.005527500000000002,0.005193000000000001,0.2854447635313824,0.45000000018180614,0.1339997685504626,0.1152048711620305,0.14713333958792307
20,4027,0.1315,0.12748275862068964,0.13309686015616443,0.3571937982225925,0.005288000000000002,0.0063845,0.005009,0.2916090025582296,0.45000000003806323,0.13637609993938257,0.11726757591595788,0.14893595990414782
