population_size,metric,sample_count,mean,standard_deviation,ci_lower,ci_upper,ci_width
20,success_rate,30,0.1335833333333333,0.007995778340122228,0.13059766063297418,0.13656900603369243,0.005971345400718267
20,volume_success_rate,30,0.1342167790009397,0.009379031832555505,0.1307145909578139,0.1377189670440655,0.007004376086251585
20,mean_operational_readiness,30,0.13359304081905032,0.0030795076487862044,0.13244313376480005,0.1347429478733006,0.0022998141085005526
20,D1,30,0.35704575593672827,0.005325810123739487,0.3550570657533155,0.359034446120141,0.00397738036682548
20,D2,30,0.005305966666666671,0.00045993443935603203,0.005134224324504733,0.00547770900882861,0.000343484684323877
20,D3,30,0.006977870632776997,0.002851344860010215,0.005913160964035518,0.008042580301518477,0.002129419337482959
20,D4,30,0.005377633333333334,0.0005082661862567236,0.005187843620278438,0.005567423046388229,0.00037957942610979204
20,D5,30,0.2932579775257463,0.008428837947541304,0.2901105977103948,0.29640535734109774,0.00629475963070294
20,SVC,30,0.44999999997329376,9.666578673667537e-11,0.4499999999371982,0.45000000000938933,7.219119596404864e-11
20,E_GMI_DBL,30,0.13678242973959945,0.002926917706880455,0.13568950070606434,0.13787535877313456,0.0021858580670702146
20,E_GMI_DMM,30,0.11765998522770293,0.0025891302642615252,0.11669318809816157,0.1186267823572443,0.001933594259082749
20,E_GMI_ISF,30,0.14926724306380512,0.002255288961361245,0.14842510432547004,0.1501093818021402,0.0016842774766701804
50,success_rate,30,0.13590666666666668,0.005766666002258946,0.13375335819278888,0.13805997514054447,0.004306616947755578
50,volume_success_rate,30,0.13611674092664838,0.007498754275490121,0.13331666006213932,0.13891682179115744,0.005600161729018101
50,mean_operational_readiness,30,0.13620920650757834,0.001965074135168324,0.13547543576632187,0.1369429772488348,0.0014675414825129362
50,D1,30,0.36168394235352513,0.0036897401578992886,0.36030617073552273,0.36306171397152753,0.00275554323600479
50,D2,30,0.005848213333333337,0.00038241957435593586,0.00570541551745241,0.005991011149214264,0.0002855956317618539
50,D3,30,0.006992568179837213,0.0009511777533295444,0.006637392569596179,0.007347743790078247,0.0007103512204820681
50,D4,30,0.005754720000000001,0.000390778948361806,0.005608800742565826,0.0059006392574341765,0.00029183851486835
50,D5,30,0.30076658867119593,0.005835191617842882,0.298587692311934,0.3029454850304579,0.004357792718523915
50,SVC,30,0.45000000000568047,7.55644961780398e-11,0.4499999999774642,0.45000000003389673,5.64324931878281e-11
50,E_GMI_DBL,30,0.13925507419169478,0.0018593884366101111,0.13856076713884752,0.13994938124454204,0.0013886141056945293
50,E_GMI_DMM,30,0.11977635538814661,0.0015877307529372317,0.11918348698148029,0.12036922379481294,0.0011857368133326416
50,E_GMI_ISF,30,0.1511325476410268,0.0013884296647583825,0.15061409948374901,0.15165099579830457,0.0010368963145555427
200,success_rate,30,0.13753,0.003613924221101219,0.13618053851806208,0.13887946148193794,0.002698922963875863
200,volume_success_rate,30,0.13830191436668443,0.004806782622032466,0.1365070322375553,0.14009679649581355,0.0035897642582582265
200,mean_operational_readiness,30,0.13913978071599936,0.00179455224380431,0.13846968389542982,0.1398098775365689,0.0013401936411390944
200,D1,30,0.36707740045678783,0.003275045876270888,0.365854478228424,0.36830032268515167,0.002445844456727717
200,D2,30,0.0060324215428741315,0.0002696376191039972,0.005931737201199856,0.006133105884548407,0.00020136868334855128
200,D3,30,0.007793595542214865,0.0011252280152278097,0.007373428496076665,0.008213762588353067,0.0008403340922764017
200,D4,30,0.006068107743370838,0.000254447070360242,0.005973095645818203,0.006163119840923472,0.00019002419510526878
200,D5,30,0.30872737829474933,0.004671497337420141,0.30698301252110755,0.3104717440683911,0.0034887315472836096
200,SVC,30,0.4500000000092511,3.413006634750487e-11,0.44999999999650675,0.45000000002199547,2.5488752444238854e-11
200,E_GMI_DBL,30,0.14205728182410132,0.0017254800078618337,0.1414129770003123,0.14270158664789034,0.0012886096475780463
200,E_GMI_DMM,30,0.12221624443811123,0.0015239040976398072,0.1216472092962217,0.12278527958000075,0.0011380702837790373
200,E_GMI_ISF,30,0.15326704288744955,0.0013324559404086131,0.1527694956623412,0.15376459011255791,0.0009950944502167224
