seed,population_size,dimension,submetric,mean
1006,50,D2,normalized_breach_latency,0.5452438832954866
1006,50,D2,policy_violation_rate,0.5292161132596288
1006,50,D3,catalog_coverage,0.4579829250641768
1006,50,D3,catalog_freshness,0.4551115038112387
1006,50,D3,lineage_rate,0.431096755062031
1006,50,D4,consent_propagation_rate,0.43971170845027435
1006,50,D4,rule_pass_rate,0.43172087302696094
1006,50,D5,api_adherence_rate,0.432021672411532
1006,50,D5,format_translation_rate,0.4661103467064395
1006,50,D5,schema_reconciliation_rate,0.44409336703442476
1006,50,SVC,audit_trail_completeness,0.448984078490437
1006,50,SVC,cross_border_flagging_rate,0.4591959545009574
1006,50,SVC,localization_compliance_rate,0.4491531601279344
1007,50,D1,completeness_ratio,0.4239949769241341
1007,50,D1,duplicate_rate,0.5592111794799519
1007,50,D1,schema_pass_rate,0.4502049643357144
1007,50,D2,encryption_coverage,0.45441716822588224
1007,50,D2,normalized_breach_latency,0.5427289813176664
1007,50,D2,policy_violation_rate,0.5379134438860173
1007,50,D3,catalog_coverage,0.4504968459583052
1007,50,D3,catalog_freshness,0.42841506129429374
1007,50,D3,lineage_rate,0.46654742583774067
1007,50,D4,consent_propagation_rate,0.4445686370814774
1007,50,D4,rule_pass_rate,0.43510385815070457
1007,50,D5,api_adherence_rate,0.4992690000923134
1007,50,D5,format_translation_rate,0.4611918624267182
1007,50,D5,schema_reconciliation_rate,0.43413807287425593
1007,50,SVC,audit_trail_completeness,0.4522128928063829
1007,50,SVC,cross_border_flagging_rate,0.44424120635441705
1007,50,SVC,localization_compliance_rate,0.47403986793630615
1008,50,D1,completeness_ratio,0.4611521328476272
1008,50,D1,duplicate_rate,0.5341050300769193
1008,50,D1,schema_pass_rate,0.4498084765103289
1008,50,D2,encryption_coverage,0.4662023364870229
1008,50,D2,normalized_breach_latency,0.5518043564796488
1008,50,D2,policy_violation_rate,0.5583857035516923
1008,50,D3,catalog_coverage,0.4471466549393893
1008,50,D3,catalog_freshness,0.4442420878763047
1008,50,D3,lineage_rate,0.4363833081036813
1008,50,D4,consent_propagation_rate,0.46124948857137554
1008,50,D4,rule_pass_rate,0.44402061055410136
1008,50,D5,api_adherence_rate,0.4596819265623447
1008,50,D5,format_translation_rate,0.4711332227093377
1008,50,D5,schema_reconciliation_rate,0.4420583238710376
1008,50,SVC,audit_trail_completeness,0.44763693283264466
1008,50,SVC,cross_border_flagging_rate,0.4633605137194137
1008,50,SVC,localization_compliance_rate,0.4544339364981685
1009,50,D1,completeness_ratio,0.44758086630088956
1009,50,D1,duplicate_rate,0.544261763952695
1009,50,D1,schema_pass_rate,0.4858845996987729
1009,50,D2,encryption_coverage,0.44612059740907084
1009,50,D2,normalized_breach_latency,0.556496299100475
1009,50,D2,policy_violation_rate,0.5492307648021716
1009,50,D3,catalog_coverage,0.4561665052048211
1009,50,D3,catalog_freshness,0.45862793529937224
1009,50,D3,lineage_rate,0.44883133112594314
1009,50,D4,consent_propagation_rate,0.4583880017835826
1009,50,D4,rule_pass_rate,0.4243950265540208
1009,50,D5,api_adherence_rate,0.46773242514956226
1009,50,D5,format_translation_rate,0.46665111130898074
1009,50,D5,schema_reconciliation_rate,0.4661080958392063
1009,50,SVC,audit_trail_completeness,0.4493820434020291
1009,50,SVC,cross_border_flagging_rate,0.44493056966829053
1009,50,SVC,localization_compliance_rate,0.447830608993466
1010,50,D1,completeness_ratio,0.4486708901110676
1010,50,D1,duplicate_rate,0.5432558656072433
1010,50,D1,schema_pass_rate,0.439277237888315
1010,50,D2,encryption_coverage,0.4189907027059017
1010,50,D2,normalized_breach_latency,0.5261779436106431
1010,50,D2,policy_violation_rate,0.5350255741874972
1010,50,D3,catalog_coverage,0.4479742842043129
1010,50,D3,catalog_freshness,0.44510265738720745
1010,50,D3,lineage_rate,0.48526581871196944
1010,50,D4,consent_propagation_rate,0.4272187987367982
1010,50,D4,rule_pass_rate,0.4617007834748195
1010,50,D5,api_adherence_rate,0.45376398654696665
1010,50,D5,format_translation_rate,0.44172478083971306
1010,50,D5,schema_reconciliation_rate,0.4383152197675002
1010,50,SVC,audit_trail_completeness,0.4356127132389349
1010,50,SVC,cross_border_flagging_rate,0.4419235536084217
1010,50,SVC,localization_compliance_rate,0.4532837474576688
1011,50,D1,completeness_ratio,0.44848992456659126
1011,50,D1,duplicate_rate,0.5268240545737671
1011,50,D1,schema_pass_rate,0.4369903218291356
1011,50,D2,encryption_coverage,0.46978756331853866
1011,50,D2,normalized_breach_latency,0.5345807172510526
1011,50,D2,policy_violation_rate,0.5500317641312928
1011,50,D3,catalog_coverage,0.44091015861976024
1011,50,D3,catalog_freshness,0.4373445170029712
1011,50,D3,lineage_rate,0.43834123173656153
1011,50,D4,consent_propagation_rate,0.4530074342336859
1011,50,D4,rule_pass_rate,0.4510606598321556
1011,50,D5,api_adherence_rate,0.44042482995606497
1011,50,D5,format_translation_rate,0.4257646270272064
1011,50,D5,schema_reconciliation_rate,0.46093550640033604
1011,50,SVC,audit_trail_completeness,0.46073221233059497
1011,50,SVC,cross_border_flagging_rate,0.4539527617389167
1011,50,SVC,localization_compliance_rate,0.48725203662185257
1012,50,D1,completeness_ratio,0.4479625474769099
1012,50,D1,duplicate_rate,0.5474451725197446
1012,50,D1,schema_pass_rate,0.4546573843311267
1012,50,D2,encryption_coverage,0.45772275114464195
1012,50,D2,normalized_breach_latency,0.5328142428136484
1012,50,D2,policy_violation_rate,0.5477466366158608
1012,50,D3,catalog_coverage,0.4484488243383706
1012,50,D3,catalog_freshness,0.44918425838002046
1012,50,D3,lineage_rate,0.4528297642683252
1012,50,D4,consent_propagation_rate,0.4604312721499379
1012,50,D4,rule_pass_rate,0.46919108198607873
1012,50,D5,api_adherence_rate,0.4377827191605306
1012,50,D5,format_translation_rate,0.4342729416896954
1012,50,D5,schema_reconciliation_rate,0.470823394866885
1012,50,SVC,audit_trail_completeness,0.44880993805013
1012,50,SVC,cross_border_flagging_rate,0.4445156893447054
1012,50,SVC,localization_compliance_rate,0.457488664296512
1013,50,D1,completeness_ratio,0.4626207210660217
1013,50,D1,duplicate_rate,0.5438686908185517
