profile,throughput,recovery_time,steady_E_GMI,success_rate
low,7.58,1.0,0.03582530315030925,0.0510350443651151
medium_low,16.654933333333336,,0.06333671289083971,0.06355696024330429
medium_high,24.121866666666666,,0.0812923568443402,0.07765577455763066
baseline_high,32.49153333333333,,0.10625309603967384,0.09739041796287677
high,83.36619999999999,21.8,0.6408681148120308,0.6219917465750566
