seed,framework,steady_state_step,pre_shock_E_GMI,post_shock_E_GMI,immediate_loss,recovery_time,recovered
6000,DBL,549,0.14214852904456826,0.14102852904456825,0.0011200000000000099,1,True
6000,DMM,549,0.12221550596022712,0.12109550596022708,0.0011200000000000376,1,True
6000,ISF,549,0.15324134484970053,0.15212134484970055,0.0011199999999999821,1,True
6001,DBL,599,0.14480211850246513,0.14348211850246512,0.0013200000000000156,1,True
6001,DMM,599,0.12466530153027218,0.12334530153027216,0.0013200000000000156,1,True
6001,ISF,599,0.1553834281458501,0.15406342814585008,0.0013200000000000156,1,True
6002,DBL,599,0.14281882953769823,0.1413868295376982,0.0014320000000000166,1,True
6002,DMM,599,0.1227414369474685,0.12130943694746853,0.001431999999999975,1,True
6002,ISF,599,0.15375917484231755,0.15232717484231753,0.0014320000000000166,1,True
6003,DBL,599,0.14226849460119756,0.14114849460119758,0.0011199999999999821,1,True
6003,DMM,599,0.12218649160702341,0.12106649160702339,0.0011200000000000238,1,True
6003,ISF,599,0.15322959005287182,0.1521095900528718,0.0011200000000000099,1,True
6004,DBL,599,0.14301730155973144,0.1414353824386081,0.0015819191211233485,1,True
6004,DMM,599,0.12306544811789501,0.12148352899677166,0.0015819191211233485,1,True
6004,ISF,599,0.15406554388670726,0.15248362476558394,0.0015819191211233208,1,True
6005,DBL,599,0.14843876013180327,0.14698124301883497,0.001457517112968293,1,True
6005,DMM,599,0.12772344684414644,0.1262659297311781,0.0014575171129683484,1,True
6005,ISF,599,0.15806589384432043,0.15660837673135208,0.0014575171129683484,1,True
6006,DBL,549,0.1432090076624268,0.14223300766242683,0.0009759999999999769,1,True
6006,DMM,549,0.12302991447200101,0.12205391447200103,0.0009759999999999769,1,True
6006,ISF,549,0.15394788207350743,0.1529718820735074,0.0009760000000000324,1,True
6007,DBL,599,0.13997698815059229,0.13891298815059228,0.0010640000000000094,1,True
6007,DMM,599,0.12030350950626906,0.11923950950626906,0.0010639999999999955,1,True
6007,ISF,599,0.1516105206635473,0.1505465206635473,0.0010640000000000094,1,True
6008,DBL,549,0.14644565719025943,0.14542965719025944,0.0010159999999999891,1,True
6008,DMM,549,0.12593109545542386,0.12491509545542387,0.0010159999999999891,1,True
6008,ISF,549,0.15647539578786795,0.15545939578786794,0.0010160000000000169,1,True
6009,DBL,599,0.1423273936689621,0.14096739366896208,0.0013600000000000279,1,True
6009,DMM,599,0.12240051740308056,0.12104051740308057,0.0013599999999999862,1,True
6009,ISF,599,0.15342793839335198,0.15206793839335195,0.0013600000000000279,1,True
6010,DBL,549,0.14267215878093026,0.1415121587809303,0.0011599999999999666,1,True
6010,DMM,549,0.12269791078297802,0.12153791078297804,0.0011599999999999805,1,True
6010,ISF,549,0.15368976408318177,0.1525297640831818,0.0011599999999999666,1,True
6011,DBL,599,0.14271488195177623,0.14167488195177622,0.0010400000000000131,1,True
6011,DMM,599,0.12280802156423185,0.12176802156423186,0.0010399999999999854,1,True
6011,ISF,599,0.15373898985852233,0.15269898985852232,0.0010400000000000131,1,True
6012,DBL,599,0.145857702493108,0.14464970249310805,0.001207999999999959,1,True
6012,DMM,599,0.12554020422395978,0.12433220422395978,0.0012080000000000007,1,True
6012,ISF,599,0.1561683931172293,0.15496039311722934,0.001207999999999959,1,True
6013,DBL,549,0.140671124402864,0.13957512440286401,0.0010959999999999859,1,True
6013,DMM,549,0.12104321517330774,0.11994721517330774,0.0010959999999999998,1,True
6013,ISF,549,0.15222750420110293,0.1511315042011029,0.0010960000000000136,1,True
6014,DBL,549,0.14242296892482723,0.14139896892482726,0.0010239999999999694,1,True
6014,DMM,549,0.12248226629975627,0.12145826629975626,0.001024000000000011,1,True
6014,ISF,549,0.1534831359829526,0.1524591359829526,0.0010239999999999971,1,True
6015,DBL,549,0.1495500622248959,0.1481006213972454,0.0014494408276505,1,True
6015,DMM,549,0.1292157058982383,0.1277662650705878,0.0014494408276505,1,True
6015,ISF,549,0.15933418158751164,0.15788474075986114,0.0014494408276505,1,True
6016,DBL,499,0.1429381744327082,0.14187417443270822,0.0010639999999999816,1,True
6016,DMM,499,0.12299793180349385,0.12193393180349385,0.0010639999999999955,1,True
6016,ISF,499,0.15391810966381883,0.15285410966381885,0.0010639999999999816,1,True
6017,DBL,549,0.14547414451148485,0.14445014451148486,0.0010239999999999971,1,True
