Framework,Recommended Threshold,Admitted Fraction,Steady-State E-GMI,Recovery Time,Success Rate,Policy Score
DBL,0.8,0.008666666666666666,0.8233242952548473,167.7,0.0,0.6
DMM,0.8,0.006666666666666667,0.8125090398137743,193.0,0.07285714285714286,0.6
ISF,0.7,0.11800000000000001,0.6698816345382785,99.06666666666666,0.28563504273504275,0.65
