Metric,DBL,DMM,ISF,Statistical Sig.
Steady-State E-GMI,0.014 ± 0.003,0.012 ± 0.002,0.088 ± 0.004,p < 0.001
Exchange Success Rate,0.053 ± 0.002,0.051 ± 0.001,0.082 ± 0.004,p < 0.001
D1 Data Quality mean score,0.028 ± 0.006,0.025 ± 0.005,0.041 ± 0.009,p = 0.005
D4 Regulatory Compliance mean score,0.002 ± 0.001,0.003 ± 0.001,0.008 ± 0.003,p < 0.001
