level_index,level,seed,theoretical_effective_mean,framework,terminal_E_GMI,terminal_success_rate
0,low,8000,0.16666666666666666,DBL,0.05213106286277336,0.0524
0,low,8000,0.16666666666666666,DMM,0.04530098495653868,0.0524
0,low,8000,0.16666666666666666,ISF,0.05702607031576317,0.0524
0,low,8001,0.16666666666666666,DBL,0.052267197355674304,0.055200000000000006
0,low,8001,0.16666666666666666,DMM,0.04547817457610577,0.055200000000000006
0,low,8001,0.16666666666666666,ISF,0.05714812005302004,0.055200000000000006
0,low,8002,0.16666666666666666,DBL,0.052496331449047036,0.047200000000000006
0,low,8002,0.16666666666666666,DMM,0.04567142584067266,0.047200000000000006
0,low,8002,0.16666666666666666,ISF,0.05740644873366619,0.047200000000000006
0,low,8003,0.16666666666666666,DBL,0.05242520846256122,0.048
0,low,8003,0.16666666666666666,DMM,0.04562509592118731,0.048
0,low,8003,0.16666666666666666,ISF,0.0573005582434244,0.048
0,low,8004,0.16666666666666666,DBL,0.052358053156310314,0.0432
0,low,8004,0.16666666666666666,DMM,0.04562668380307645,0.0432
0,low,8004,0.16666666666666666,ISF,0.05718691339691694,0.0432
0,low,8005,0.16666666666666666,DBL,0.052380741086248024,0.048400000000000006
0,low,8005,0.16666666666666666,DMM,0.045564970771932244,0.048400000000000006
0,low,8005,0.16666666666666666,ISF,0.057220490209820625,0.048400000000000006
0,low,8006,0.16666666666666666,DBL,0.052458661566951316,0.055999999999999994
0,low,8006,0.16666666666666666,DMM,0.04564166998440857,0.055999999999999994
0,low,8006,0.16666666666666666,ISF,0.05769531436395736,0.055999999999999994
0,low,8007,0.16666666666666666,DBL,0.05238993198579707,0.042800000000000005
0,low,8007,0.16666666666666666,DMM,0.04559935950444806,0.042800000000000005
0,low,8007,0.16666666666666666,ISF,0.05723780909850754,0.042800000000000005
0,low,8008,0.16666666666666666,DBL,0.05248690911255743,0.049600000000000005
0,low,8008,0.16666666666666666,DMM,0.04558701900921576,0.049600000000000005
0,low,8008,0.16666666666666666,ISF,0.05723127925654099,0.049600000000000005
0,low,8009,0.16666666666666666,DBL,0.05195550526487481,0.0572
0,low,8009,0.16666666666666666,DMM,0.045142190458768106,0.0572
0,low,8009,0.16666666666666666,ISF,0.05685512721818691,0.0572
0,low,8010,0.16666666666666666,DBL,0.05218039710842319,0.04680000000000001
0,low,8010,0.16666666666666666,DMM,0.04537199484448442,0.04680000000000001
0,low,8010,0.16666666666666666,ISF,0.05704671234203357,0.04680000000000001
0,low,8011,0.16666666666666666,DBL,0.051896390369915266,0.046400000000000004
0,low,8011,0.16666666666666666,DMM,0.04514354254410387,0.046400000000000004
0,low,8011,0.16666666666666666,ISF,0.05681505548610711,0.046400000000000004
0,low,8012,0.16666666666666666,DBL,0.052245629454717425,0.0572
0,low,8012,0.16666666666666666,DMM,0.04551260819989281,0.0572
0,low,8012,0.16666666666666666,ISF,0.057233635316033045,0.0572
0,low,8013,0.16666666666666666,DBL,0.05192301533780576,0.04920000000000001
0,low,8013,0.16666666666666666,DMM,0.045128806029451816,0.04920000000000001
0,low,8013,0.16666666666666666,ISF,0.0567905261569196,0.04920000000000001
0,low,8014,0.16666666666666666,DBL,0.052384409904082385,0.0524
0,low,8014,0.16666666666666666,DMM,0.045560315283176556,0.0524
0,low,8014,0.16666666666666666,ISF,0.057164334260281925,0.0524
0,low,8015,0.16666666666666666,DBL,0.052558058991850176,0.047599999999999996
0,low,8015,0.16666666666666666,DMM,0.045634449766422856,0.047599999999999996
0,low,8015,0.16666666666666666,ISF,0.05724025772612,0.047599999999999996
0,low,8016,0.16666666666666666,DBL,0.052307339561585835,0.0504
0,low,8016,0.16666666666666666,DMM,0.04547902087582578,0.0504
0,low,8016,0.16666666666666666,ISF,0.057090093959853705,0.0504
0,low,8017,0.16666666666666666,DBL,0.052730868216909456,0.0572
0,low,8017,0.16666666666666666,DMM,0.04590239953225654,0.0572
0,low,8017,0.16666666666666666,ISF,0.057498248566974774,0.0572
0,low,8018,0.16666666666666666,DBL,0.052598771494629395,0.04879999999999999
0,low,8018,0.16666666666666666,DMM,0.04576520803771672,0.04879999999999999
0,low,8018,0.16666666666666666,ISF,0.057439879390466755,0.04879999999999999
0,low,8019,0.16666666666666666,DBL,0.05208968210650919,0.04680000000000001
0,low,8019,0.16666666666666666,DMM,0.045292806626314804,0.04680000000000001
0,low,8019,0.16666666666666666,ISF,0.05689728750203878,0.04680000000000001
0,low,8020,0.16666666666666666,DBL,0.051815828627336885,0.0424
0,low,8020,0.16666666666666666,DMM,0.04503417249578891,0.0424
0,low,8020,0.16666666666666666,ISF,0.056717291479322085,0.0424
0,low,8021,0.16666666666666666,DBL,0.05195951050099107,0.044000000000000004
0,low,8021,0.16666666666666666,DMM,0.04518607933305084,0.044000000000000004
0,low,8021,0.16666666666666666,ISF,0.05691722546985394,0.044000000000000004
0,low,8022,0.16666666666666666,DBL,0.052083424903382955,0.0544
0,low,8022,0.16666666666666666,DMM,0.04531336253735728,0.0544
0,low,8022,0.16666666666666666,ISF,0.05713462700147107,0.0544
0,low,8023,0.16666666666666666,DBL,0.053301797598770406,0.0528
0,low,8023,0.16666666666666666,DMM,0.04646339325449571,0.0528
0,low,8023,0.16666666666666666,ISF,0.05794519669063838,0.0528
0,low,8024,0.16666666666666666,DBL,0.052430107624315235,0.0572
0,low,8024,0.16666666666666666,DMM,0.04566184475145458,0.0572
0,low,8024,0.16666666666666666,ISF,0.05734681324655555,0.0572
0,low,8025,0.16666666666666666,DBL,0.05270540833452783,0.044800000000000006
0,low,8025,0.16666666666666666,DMM,0.045829061662512764,0.044800000000000006
0,low,8025,0.16666666666666666,ISF,0.05749588658427819,0.044800000000000006
0,low,8026,0.16666666666666666,DBL,0.052326331868692184,0.0508
0,low,8026,0.16666666666666666,DMM,0.045535443307805006,0.0508
0,low,8026,0.16666666666666666,ISF,0.057234629533484335,0.0508
0,low,8027,0.16666666666666666,DBL,0.05242149337412973,0.048400000000000006
0,low,8027,0.16666666666666666,DMM,0.04563297826870691,0.048400000000000006
0,low,8027,0.16666666666666666,ISF,0.05715130100364962,0.048400000000000006
0,low,8028,0.16666666666666666,DBL,0.05274182226719775,0.056400000000000006
0,low,8028,0.16666666666666666,DMM,0.04593594552253494,0.056400000000000006
0,low,8028,0.16666666666666666,ISF,0.05754497554925151,0.056400000000000006
0,low,8029,0.16666666666666666,DBL,0.05258700912604941,0.052000000000000005
0,low,8029,0.16666666666666666,DMM,0.04586615851800833,0.052000000000000005
0,low,8029,0.16666666666666666,ISF,0.05762051813282504,0.052000000000000005
1,low_moderate,8000,0.3333333333333333,DBL,0.10899060435444106,0.1084
1,low_moderate,8000,0.3333333333333333,DMM,0.09472465304012216,0.1084
1,low_moderate,8000,0.3333333333333333,ISF,0.1173536750022325,0.1084
1,low_moderate,8001,0.3333333333333333,DBL,0.10742162151689923,0.1008
1,low_moderate,8001,0.3333333333333333,DMM,0.09337501152550268,0.1008
1,low_moderate,8001,0.3333333333333333,ISF,0.11617428812084485,0.1008
1,low_moderate,8002,0.3333333333333333,DBL,0.1131100491697653,0.0992
1,low_moderate,8002,0.3333333333333333,DMM,0.09915041494022471,0.0992
1,low_moderate,8002,0.3333333333333333,ISF,0.12138383789301535,0.0992
1,low_moderate,8003,0.3333333333333333,DBL,0.11123635477060946,0.10959999999999999
1,low_moderate,8003,0.3333333333333333,DMM,0.0972592666135723,0.10959999999999999
1,low_moderate,8003,0.3333333333333333,ISF,0.11967172896702319,0.10959999999999999
1,low_moderate,8004,0.3333333333333333,DBL,0.11359625335253731,0.1188
1,low_moderate,8004,0.3333333333333333,DMM,0.09946219317769696,0.1188
1,low_moderate,8004,0.3333333333333333,ISF,0.12166122434580647,0.1188
1,low_moderate,8005,0.3333333333333333,DBL,0.11188264597834272,0.11
1,low_moderate,8005,0.3333333333333333,DMM,0.0972684381542216,0.11
1,low_moderate,8005,0.3333333333333333,ISF,0.1195932743534414,0.11
1,low_moderate,8006,0.3333333333333333,DBL,0.11339711130839271,0.10559999999999999
1,low_moderate,8006,0.3333333333333333,DMM,0.09892910510302035,0.10559999999999999
1,low_moderate,8006,0.3333333333333333,ISF,0.1213002542668694,0.10559999999999999
1,low_moderate,8007,0.3333333333333333,DBL,0.11368919056012167,0.102
1,low_moderate,8007,0.3333333333333333,DMM,0.09964447001697976,0.102
1,low_moderate,8007,0.3333333333333333,ISF,0.12171666264153401,0.102
1,low_moderate,8008,0.3333333333333333,DBL,0.112788609487204,0.10079999999999999
1,low_moderate,8008,0.3333333333333333,DMM,0.09872576058231225,0.10079999999999999
1,low_moderate,8008,0.3333333333333333,ISF,0.12089341872618994,0.10079999999999999
1,low_moderate,8009,0.3333333333333333,DBL,0.11334815495828897,0.10880000000000001
1,low_moderate,8009,0.3333333333333333,DMM,0.09898043624355485,0.10880000000000001
1,low_moderate,8009,0.3333333333333333,ISF,0.12109948599736332,0.10880000000000001
1,low_moderate,8010,0.3333333333333333,DBL,0.11001669103095675,0.0984
1,low_moderate,8010,0.3333333333333333,DMM,0.09589983934153064,0.0984
1,low_moderate,8010,0.3333333333333333,ISF,0.11830997673190724,0.0984
1,low_moderate,8011,0.3333333333333333,DBL,0.10939511113646114,0.1004
1,low_moderate,8011,0.3333333333333333,DMM,0.09535045204970082,0.1004
1,low_moderate,8011,0.3333333333333333,ISF,0.11803055351460755,0.1004
1,low_moderate,8012,0.3333333333333333,DBL,0.11099966301842912,0.11199999999999999
1,low_moderate,8012,0.3333333333333333,DMM,0.09676559671973861,0.11199999999999999
1,low_moderate,8012,0.3333333333333333,ISF,0.11920150615939619,0.11199999999999999
1,low_moderate,8013,0.3333333333333333,DBL,0.11123049116990302,0.10399999999999998
1,low_moderate,8013,0.3333333333333333,DMM,0.09701458286316837,0.10399999999999998
1,low_moderate,8013,0.3333333333333333,ISF,0.11930030114664396,0.10399999999999998
1,low_moderate,8014,0.3333333333333333,DBL,0.11411701506092761,0.1124
1,low_moderate,8014,0.3333333333333333,DMM,0.09986810335835679,0.1124
1,low_moderate,8014,0.3333333333333333,ISF,0.12213210325071158,0.1124
1,low_moderate,8015,0.3333333333333333,DBL,0.10887137737093167,0.09280000000000001
1,low_moderate,8015,0.3333333333333333,DMM,0.09447413877711763,0.09280000000000001
1,low_moderate,8015,0.3333333333333333,ISF,0.11721595512092835,0.09280000000000001
1,low_moderate,8016,0.3333333333333333,DBL,0.10934460215713779,0.10719999999999999
1,low_moderate,8016,0.3333333333333333,DMM,0.09490183820632998,0.10719999999999999
1,low_moderate,8016,0.3333333333333333,ISF,0.11751846902976336,0.10719999999999999
1,low_moderate,8017,0.3333333333333333,DBL,0.11146775907707596,0.1016
1,low_moderate,8017,0.3333333333333333,DMM,0.0975032598858321,0.1016
1,low_moderate,8017,0.3333333333333333,ISF,0.1198191447645217,0.1016
1,low_moderate,8018,0.3333333333333333,DBL,0.11220429526479463,0.1072
1,low_moderate,8018,0.3333333333333333,DMM,0.0984736497125909,0.1072
1,low_moderate,8018,0.3333333333333333,ISF,0.12075704166195553,0.1072
1,low_moderate,8019,0.3333333333333333,DBL,0.11113652743642957,0.09440000000000001
1,low_moderate,8019,0.3333333333333333,DMM,0.09703886600438832,0.09440000000000001
1,low_moderate,8019,0.3333333333333333,ISF,0.11954003676764068,0.09440000000000001
1,low_moderate,8020,0.3333333333333333,DBL,0.11099290968005024,0.0992
1,low_moderate,8020,0.3333333333333333,DMM,0.09670653112665552,0.0992
1,low_moderate,8020,0.3333333333333333,ISF,0.11905735313181903,0.0992
1,low_moderate,8021,0.3333333333333333,DBL,0.11013485017574538,0.10240000000000002
1,low_moderate,8021,0.3333333333333333,DMM,0.09597634393185243,0.10240000000000002
1,low_moderate,8021,0.3333333333333333,ISF,0.11843032029497008,0.10240000000000002
1,low_moderate,8022,0.3333333333333333,DBL,0.11650100237359066,0.12440000000000001
1,low_moderate,8022,0.3333333333333333,DMM,0.1022273497621959,0.12440000000000001
1,low_moderate,8022,0.3333333333333333,ISF,0.12409999905643017,0.12440000000000001
1,low_moderate,8023,0.3333333333333333,DBL,0.11095324445818236,0.11239999999999999
1,low_moderate,8023,0.3333333333333333,DMM,0.09667820426464464,0.11239999999999999
1,low_moderate,8023,0.3333333333333333,ISF,0.11915705135909503,0.11239999999999999
1,low_moderate,8024,0.3333333333333333,DBL,0.11393329298784206,0.1032
1,low_moderate,8024,0.3333333333333333,DMM,0.09970865427332334,0.1032
1,low_moderate,8024,0.3333333333333333,ISF,0.12194034221425505,0.1032
1,low_moderate,8025,0.3333333333333333,DBL,0.11431578084029156,0.1032
1,low_moderate,8025,0.3333333333333333,DMM,0.09976696350678091,0.1032
1,low_moderate,8025,0.3333333333333333,ISF,0.1217584300832009,0.1032
