seed,framework,steady_E_GMI,success_rate,D1,D4
0,DBL,0.0043669460876863235,0.04330578512396695,0.005038538198409892,0.0002970293151864168
0,DMM,0.0045707662414405355,0.0456198347107438,0.0057817762027185275,0.00034344
0,ISF,0.08573284973736069,0.08754716981132075,0.03418633509348377,0.0048444419499943416
1,DBL,0.024554667049438098,0.058918918918918914,0.044837791998972996,0.008507171221036586
1,DMM,0.0199798877748188,0.05495495495495496,0.04020035602547011,0.004706852158716593
1,ISF,0.10369902480677153,0.09074074074074075,0.06984906574432163,0.03162743611969314
2,DBL,0.013465984332454795,0.05289256198347107,0.029847219000046367,0.0023470866231729585
2,DMM,0.012262616099725359,0.05223140495867769,0.029292202882304018,0.000932510143006932
2,ISF,0.0793494897793874,0.07794392523364485,0.022915442053745818,0.006932583135496187
3,DBL,0.021848841526127996,0.05840707964601769,0.040108017230999264,0.00045912110084358955
3,DMM,0.017559695556077774,0.052566371681415924,0.03496695740251872,0.0033876926461928886
3,ISF,0.07601724010311725,0.0704,0.008992699900712983,0.0006587392199692229
4,DBL,0.008286873963539393,0.05145631067961164,0.004210708553145582,0.0003408
4,DMM,0.012193547806374999,0.051262135922330095,0.013966765616877675,0.0026356740280644355
4,ISF,0.08447028627569686,0.07412844036697247,0.047964310403523586,0.002669572853974968
5,DBL,0.013719705717841606,0.0553448275862069,0.035884994155716846,0.0010666016382292838
5,DMM,0.013896525010748315,0.05,0.034241588118274775,0.004165569620847555
5,ISF,0.09053984709474895,0.08232142857142856,0.040103475996294484,0.013303380223826019
6,DBL,0.00966584532370763,0.0502608695652174,0.019076204963535178,0.0004004097617752137
6,DMM,0.006231072749026262,0.049391304347826084,0.012993455704101342,0.0015619834547995733
6,ISF,0.07845310009512241,0.07565217391304349,0.020016428390272886,0.002591902111676708
7,DBL,0.00872559662708404,0.05428571428571429,0.013828427894221394,0.0011605721820063834
7,DMM,0.006485155434630405,0.04910714285714285,0.013393777298686233,0.00036816
7,ISF,0.08233099644319825,0.08261682242990652,0.03428932774729324,0.0018076935125680973
8,DBL,0.02001564328775279,0.05428571428571428,0.033985348726107124,0.005862365904939886
8,DMM,0.01435527664188539,0.04875,0.025967816673374573,0.0026788703930640534
8,ISF,0.08445666461752266,0.07641025641025642,0.03396951704251306,0.007415331453284649
9,DBL,0.025629458109624702,0.052336448598130844,0.05033915950491821,0.0008407212856464316
9,DMM,0.02020525036382356,0.05102803738317757,0.037888114742706196,0.0025339052920045325
