threshold,seed,framework,admitted_fraction,steady_E_GMI,recovery_time,success_rate
0.3,0,DBL,1.0,0.005535094065925042,,0.04776859504132232
0.3,0,DMM,1.0,0.0038620608100960793,,0.04925619834710744
0.3,0,ISF,1.0,0.07811919088943789,,0.07
0.3,1,DBL,1.0,0.01694918939862439,,0.05513513513513512
0.3,1,DMM,1.0,0.016885269660617007,,0.05801801801801802
0.3,1,ISF,1.0,0.08267890520360949,,0.0824074074074074
0.3,2,DBL,1.0,0.014425948025895063,,0.057685950413223136
0.3,2,DMM,1.0,0.010103964877079853,,0.05338842975206611
0.3,2,ISF,1.0,0.07636346561907512,,0.0730841121495327
0.3,3,DBL,1.0,0.018306165104231952,,0.051504424778761056
0.3,3,DMM,1.0,0.017533239378021752,,0.054336283185840696
0.3,3,ISF,1.0,0.06944193018400481,,0.07408
0.3,4,DBL,1.0,0.007627678689637415,,0.04349514563106796
0.3,4,DMM,1.0,0.006669185954494142,,0.04233009708737864
0.3,4,ISF,1.0,0.07312509063569314,,0.06697247706422019
0.3,5,DBL,1.0,0.007749084310539103,,0.049482758620689654
0.3,5,DMM,1.0,0.006595162282071,,0.049655172413793094
0.3,5,ISF,1.0,0.07579362742026687,,0.07214285714285715
0.3,6,DBL,1.0,0.007897556833278916,,0.05147826086956522
0.3,6,DMM,1.0,0.0053868358778562985,,0.04869565217391303
0.3,6,ISF,1.0,0.07084952293671894,,0.07130434782608695
0.3,7,DBL,1.0,0.0069744130101823745,,0.047321428571428556
0.3,7,DMM,1.0,0.005758874772173297,,0.04839285714285715
0.3,7,ISF,1.0,0.07289761546800495,,0.07233644859813083
0.3,8,DBL,1.0,0.013167433955397994,,0.04732142857142857
0.3,8,DMM,1.0,0.012980598146593246,,0.04999999999999999
0.3,8,ISF,1.0,0.07058535510928808,,0.06427350427350427
0.3,9,DBL,1.0,0.016536399229048118,,0.04990654205607476
0.3,9,DMM,1.0,0.014202075118142268,,0.05065420560747663
0.3,9,ISF,1.0,0.0714386490668615,,0.0653211009174312
0.3,10,DBL,1.0,0.00909775886088895,,0.05433962264150944
0.3,10,DMM,1.0,0.006440083939197835,,0.05169811320754718
