candidate_seed_count,metric,sample_count,mean,standard_deviation,ci_lower,ci_upper,ci_width,relative_ci_width,maximum_relative_ci_width,accepted_metric
5,success_rate,5,0.13856,0.0032168307384753654,0.1345657770837199,0.1425542229162801,0.007988445832560179,0.05765333308718375,0.05,False
5,volume_success_rate,5,0.13738865375616957,0.005331374157950424,0.13076887840328863,0.1440084291090505,0.0132395507057619,0.09636567754174798,0.05,False
5,mean_operational_readiness,5,0.1372507870511113,0.001951365133115371,0.13482784721797184,0.13967372688425075,0.0048458796662789036,0.03530675320990567,0.05,True
5,D1,5,0.36386184694642576,0.003763250405788131,0.3591891544013329,0.3685345394915186,0.009345385090185657,0.02568388295891229,0.05,True
5,D2,5,0.006091680000000004,0.000475430028500515,0.005501355649945925,0.006682004350054083,0.001180648700108158,0.1180648700108158,0.05,False
5,D3,5,0.006893040000000001,0.000391530238934364,0.006406890998107084,0.0073791890018929185,0.0009722980037858348,0.09722980037858348,0.05,False
5,D4,5,0.0058188000000000024,0.0003794374783808269,0.005347666143525311,0.006289933856474694,0.0009422677129493837,0.09422677129493837,0.05,False
5,D5,5,0.3035885683091307,0.005915282650243969,0.2962437748031234,0.31093336181513803,0.014689587012014569,0.048386495887608044,0.05,True
5,SVC,5,0.44999999995501894,2.3198505993319953e-11,0.4499999999262142,0.4499999999838237,5.760949940803927e-11,1.2802110980843954e-10,0.05,True
5,E_GMI_DBL,5,0.14026445098297605,0.0018429343116942987,0.1379761457970908,0.1425527561688613,0.0045766103717704894,0.032628441060422037,0.05,True
5,E_GMI_DMM,5,0.12063303612530936,0.0015469928685118864,0.11871219077500018,0.12255388147561853,0.0038416907006183576,0.03184609145232608,0.05,True
5,E_GMI_ISF,5,0.1518919302157001,0.0013602172557765013,0.1502029974194669,0.1535808630119333,0.0033778655924664052,0.022238611278884497,0.05,True
10,success_rate,10,0.13582,0.004887580633037614,0.13232363544066805,0.13931636455933194,0.0069927291186638605,0.051485268139183187,0.05,False
10,volume_success_rate,10,0.1341159608086527,0.0058038035078199594,0.12996416988843693,0.1382677517288685,0.008303581840431553,0.06191345004997969,0.05,False
10,mean_operational_readiness,10,0.13725598100202258,0.0019665319204014275,0.13584920881195167,0.13866275319209348,0.002813544380141829,0.020498519333014487,0.05,True
10,D1,10,0.3636421419359163,0.0034982078159751726,0.36113967481623793,0.3661446090555947,0.005004934239356791,0.013763350454136302,0.05,True
10,D2,10,0.005930800000000003,0.0004277428095375907,0.005624811227217993,0.006236788772782014,0.0006119775455640204,0.061197754556402036,0.05,False
10,D3,10,0.007254543510615547,0.001188317841055177,0.006404472136528575,0.00810461488470252,0.001700142748173943,0.17001427481739428,0.05,False
