seed,success_rate,volume_success_rate,mean_operational_readiness,D1,D2,D3,D4,D5,SVC,E_GMI_DBL,E_GMI_DMM,E_GMI_ISF
3000,0.13779999999999998,0.13495249406175774,0.13966129584651912,0.36822448018208975,0.005982000000000004,0.006751000000000003,0.006242800000000003,0.31110619905050585,0.4499999999532852,0.1425172099030983,0.12253218552612044,0.15355067593679705
3001,0.142,0.14315849486887117,0.13756968248585902,0.36468762823447437,0.006432000000000005,0.006654600000000002,0.005737200000000002,0.30433698419482086,0.4499999999380189,0.14058721468784172,0.12089740431496286,0.15213598406017886
3002,0.1416,0.14282082324455206,0.1374356216963054,0.36483755310396915,0.005523200000000002,0.006689000000000001,0.006091600000000002,0.30403675537755803,0.44999999993411044,0.14047566158262598,0.12079882432818016,0.1520319461519607
3003,0.13440000000000002,0.13119745222929938,0.13420645328913297,0.3578657227261243,0.005815600000000004,0.0075876000000000025,0.005260400000000001,0.29450294371954067,0.44999999999269724,0.13737459223946216,0.11821224424609221,0.14975615891644864
3004,0.13699999999999998,0.13481400437636762,0.1373808819377399,0.3636938504854712,0.006705600000000003,0.006783000000000003,0.005762000000000002,0.3039599592032283,0.44999999995698275,0.14036757650185205,0.12072452221119105,0.15198488601311533
3005,0.1392,0.13762315270935963,0.1346229560215811,0.35878817076593367,0.005962800000000003,0.0064924000000000015,0.005842800000000002,0.29602860934197195,0.4499999999506839,0.13776093409277917,0.118492982689542,0.1500200950824523
3006,0.1376,0.1313298429319372,0.1378965641528281,0.36480110838778,0.005357600000000002,0.007577400000000008,0.005637200000000001,0.3061095123763604,0.4500000000663572,0.14083114395339907,0.12111966533047484,0.15228561292182774
3007,0.1294,0.1258637236084453,0.1372668805207188,0.36366520640466143,0.006185200000000003,0.006718200000000002,0.005920000000000002,0.3038457961989327,0.4499999998956065,0.14025785103100527,0.12061964895289742,0.1518823008903862
3008,0.12840000000000001,0.12760895170789166,0.13599970901920888,0.3613910853268139,0.005466000000000002,0.006830000000000004,0.005894400000000002,0.3004170597692305,0.44999999997729156,0.13904841029708806,0.11958525394420672,0.150958003040015
3009,0.13080000000000003,0.1317906683480454,0.14051976505033223,0.3684666137418454,0.005878000000000003,0.010462235106155444,0.005652400000000002,0.3121395764036603,0.4500000002128218,0.1433361169172415,0.12344946861712255,0.15430580743124842
3010,0.128,0.1336497175141243,0.1401825319773296,0.36917946304053445,0.005290000000000002,0.007514800000000009,0.006217200000000003,0.31271119684611354,0.45000000002416274,0.14300594528705063,0.12297416149045119,0.15391141229513453
