seed,steady_state_step,framework,E_GMI,success_rate,volume_success_rate
5000,549,DBL,0.14725223808823612,0.1378,0.1389720812182741
5000,549,DMM,0.12706768903662324,0.1378,0.1389720812182741
5000,549,ISF,0.1574360093629657,0.1378,0.1389720812182741
5001,599,DBL,0.1426214032119929,0.133,0.14254769921436589
5001,599,DMM,0.12261132787628026,0.133,0.14254769921436589
5001,599,ISF,0.15360562462230162,0.133,0.14254769921436589
5002,599,DBL,0.14547521250378323,0.1384,0.13640605296343003
5002,599,DMM,0.12508610387480307,0.1384,0.13640605296343003
5002,599,ISF,0.15579121043816094,0.1384,0.13640605296343003
5003,599,DBL,0.13980876312785728,0.13960000000000003,0.13746499631540163
5003,599,DMM,0.12017120870199596,0.13960000000000003,0.13746499631540163
5003,599,ISF,0.15147760157372592,0.13960000000000003,0.13746499631540163
5004,499,DBL,0.1417861744435417,0.1326,0.12832349468713106
5004,499,DMM,0.12189725066610334,0.1326,0.12832349468713106
5004,499,ISF,0.15297289975572165,0.1326,0.12832349468713106
5005,599,DBL,0.14165369553258655,0.137,0.13890645586297762
5005,599,DMM,0.12208333905431248,0.137,0.13890645586297762
5005,599,ISF,0.15310519836101583,0.137,0.13890645586297762
5006,499,DBL,0.13986389257284448,0.13459999999999997,0.13421890547263682
5006,499,DMM,0.12017656865800318,0.13459999999999997,0.13421890547263682
5006,499,ISF,0.15145502157878354,0.13459999999999997,0.13421890547263682
5007,649,DBL,0.14142672732292635,0.14120000000000002,0.14354357798165138
5007,649,DMM,0.12166293135545897,0.14120000000000002,0.14354357798165138
5007,649,ISF,0.15276703638862738,0.14120000000000002,0.14354357798165138
5008,599,DBL,0.14121645099659136,0.13119999999999998,0.12954009433962263
5008,599,DMM,0.12148257151791723,0.13119999999999998,0.12954009433962263
5008,599,ISF,0.1526187094188061,0.13119999999999998,0.12954009433962263
5009,599,DBL,0.14220194505835235,0.13920000000000002,0.14109865470852015
5009,599,DMM,0.12236713660466342,0.13920000000000002,0.14109865470852015
5009,599,ISF,0.15337293899021748,0.13920000000000002,0.14109865470852015
5010,599,DBL,0.14448186272687893,0.1324,0.1260693641618497
5010,599,DMM,0.12418615747279292,0.1324,0.1260693641618497
5010,599,ISF,0.1550042127337064,0.1324,0.1260693641618497
5011,599,DBL,0.1446089610480316,0.1462,0.14359447004608294
5011,599,DMM,0.12430442403204384,0.1462,0.14359447004608294
5011,599,ISF,0.15510165785646335,0.1462,0.14359447004608294
5012,549,DBL,0.1397713032485291,0.1348,0.13812301166489924
5012,549,DMM,0.12013421877990738,0.1348,0.13812301166489924
5012,549,ISF,0.151442016669847,0.1348,0.13812301166489924
5013,549,DBL,0.14005561173547496,0.13820000000000005,0.14184563758389263
5013,549,DMM,0.12035809569269082,0.13820000000000005,0.14184563758389263
5013,549,ISF,0.15162194064514323,0.13820000000000005,0.14184563758389263
5014,549,DBL,0.14474612954268587,0.132,0.13363636363636366
5014,549,DMM,0.12436736828960542,0.132,0.13363636363636366
5014,549,ISF,0.15513308902336076,0.132,0.13363636363636366
5015,549,DBL,0.14602657237607738,0.15,0.15169139465875373
5015,549,DMM,0.1258764694255764,0.15,0.15169139465875373
5015,549,ISF,0.1564379907304328,0.15,0.15169139465875373
5016,599,DBL,0.1428840486877413,0.1292,0.13570297029702968
5016,599,DMM,0.12311745488678844,0.1292,0.13570297029702968
5016,599,ISF,0.15420720359273365,0.1292,0.13570297029702968
5017,699,DBL,0.14127533423005423,0.13420000000000004,0.13139650872817954
5017,699,DMM,0.12149294340982804,0.13420000000000004,0.13139650872817954
5017,699,ISF,0.15262054940404501,0.13420000000000004,0.13139650872817954
5018,599,DBL,0.14254632207258383,0.136,0.14131548311990685
5018,599,DMM,0.12277680851306207,0.136,0.14131548311990685
5018,599,ISF,0.15372007024476197,0.136,0.14131548311990685
5019,599,DBL,0.14225979648603376,0.1326,0.13467581047381547
5019,599,DMM,0.12223392779152237,0.1326,0.13467581047381547
5019,599,ISF,0.15325296957979204,0.1326,0.13467581047381547
5020,599,DBL,0.1489184733896458,0.1454,0.14699074074074076
5020,599,DMM,0.12817584945012708,0.1454,0.14699074074074076
5020,599,ISF,0.1584835923650466,0.1454,0.14699074074074076
5021,549,DBL,0.1439119975150788,0.13799999999999998,0.1344912641315519
5021,549,DMM,0.12363183883872818,0.13799999999999998,0.1344912641315519
5021,549,ISF,0.1545025619488055,0.13799999999999998,0.1344912641315519
5022,599,DBL,0.14248645719308073,0.13,0.1281549815498155
5022,599,DMM,0.1225569949873534,0.13,0.1281549815498155
5022,599,ISF,0.1535848849836355,0.13,0.1281549815498155
5023,549,DBL,0.1425915163232762,0.1352,0.13726221079691517
5023,549,DMM,0.12257838638895778,0.1352,0.13726221079691517
5023,549,ISF,0.1535801095199595,0.1352,0.13726221079691517
5024,699,DBL,0.14255388124808493,0.14100000000000001,0.1410742857142857
5024,699,DMM,0.12253447654971791,0.14100000000000001,0.1410742857142857
5024,699,ISF,0.15356043362748384,0.14100000000000001,0.1410742857142857
5025,549,DBL,0.14466948501855934,0.1392,0.15129067245119307
5025,549,DMM,0.12432528059210896,0.1392,0.15129067245119307
5025,549,ISF,0.15510511342004812,0.1392,0.15129067245119307
5026,549,DBL,0.14394030626866613,0.13879999999999998,0.13895778364116096
5026,549,DMM,0.12377266043567746,0.13879999999999998,0.13895778364116096
5026,549,ISF,0.1546490627779003,0.13879999999999998,0.13895778364116096
5027,599,DBL,0.14466130652598064,0.13620000000000002,0.13122474747474747
5027,599,DMM,0.12436785252418608,0.13620000000000002,0.13122474747474747
5027,599,ISF,0.15513924510535815,0.13620000000000002,0.13122474747474747
5028,599,DBL,0.14499355819793933,0.13899999999999996,0.13641386782231854
5028,599,DMM,0.12503022729691649,0.13899999999999996,0.13641386782231854
5028,599,ISF,0.15566590856555157,0.13899999999999996,0.13641386782231854
5029,549,DBL,0.1415581425011616,0.1322,0.13455377574370708
5029,549,DMM,0.12168570820900707,0.1322,0.13455377574370708
5029,549,ISF,0.15278309818687572,0.1322,0.13455377574370708
