step,metric,sample_count,mean,standard_deviation,ci_lower,ci_upper,ci_width
0,success_rate,30,0.4446666666666666,0.07347217786033179,0.4172317045726361,0.4721016287606971,0.054869924188060984
0,volume_success_rate,30,0.43379732139953564,0.06675149030585863,0.40887190528157924,0.45872273751749204,0.04985083223591285
0,mean_operational_readiness,30,0.44847955162258174,0.004777536888793814,0.4466955900297179,0.45026351321544555,0.00356792318572762
0,D1,30,0.4493084881968741,0.012469697415864718,0.4446522266582736,0.45396474973547457,0.00931252307720101
0,D2,30,0.44609407186719796,0.008417452650757268,0.44295094339153446,0.44923720034286146,0.0062862569513269986
0,D3,30,0.45078663831107235,0.012182793658842714,0.4462375083960028,0.4553357682261419,0.00909825983013907
0,D4,30,0.44665022375014213,0.010079148563520336,0.44288660782322703,0.4504138396770572,0.007527231853830162
0,D5,30,0.44955833598762257,0.01084207891150284,0.44550983718685183,0.4536068347883933,0.008096997601541481
0,SVC,30,0.44686345503390246,0.011102607496690696,0.44271767326062167,0.45100923680718324,0.008291563546561583
0,E_GMI_DBL,30,0.4484670592330445,0.004949271256659196,0.4466189709733275,0.45031514749276147,0.0036961765194340338
0,E_GMI_DMM,30,0.44846552451495525,0.004965835352675018,0.44661125112013605,0.45031979790977444,0.0037085467896383496
0,E_GMI_ISF,30,0.4482100635272098,0.004473288305855229,0.44653971022231526,0.4498804168321044,0.0033407066097891733
1,success_rate,30,0.43533333333333346,0.06361160885883328,0.4115803682163892,0.4590862984502777,0.047505930233888514
1,volume_success_rate,30,0.47180541608338866,0.0853056596753704,0.43995175926040736,0.5036590729063699,0.06370731364596258
1,mean_operational_readiness,30,0.4465897224543384,0.004714871746944597,0.4448291604100019,0.4483502844986749,0.003521124088672991
1,D1,30,0.44930426115234173,0.012259246546768255,0.4447265832597479,0.45388193904493557,0.009155355785187622
1,D2,30,0.4428955412876447,0.008223167808471848,0.43982495996436966,0.4459661226109197,0.006141162646550087
1,D3,30,0.44832095725317167,0.01209358542545028,0.4438051382399002,0.45283677626644314,0.009031638026542903
1,D4,30,0.44338425303595425,0.010234675538481473,0.43956256238215724,0.44720594368975125,0.007643381307593986
1,D5,30,0.4490435995425798,0.010957681507075368,0.4449519340231971,0.45313526506196244,0.008183331038765375
1,SVC,30,0.4469136532885317,0.010964336829745007,0.4428195026308221,0.45100780394624135,0.00818830131541927
1,E_GMI_DBL,30,0.44660275553482653,0.0048533104300083904,0.44479049963666933,0.44841501143298373,0.0036245117963144514
1,E_GMI_DMM,30,0.4464528430648249,0.0048551927139902475,0.44463988431027773,0.4482658018193721,0.0036259175090943454
1,E_GMI_ISF,30,0.4463767278289337,0.004397693312293309,0.44473460215854327,0.4480188534993241,0.003284251340780753
2,success_rate,30,0.4446666666666667,0.0702082288788063,0.4184504831524032,0.47088285018093023,0.05243236702852705
2,volume_success_rate,30,0.433597002224429,0.10372572066816943,0.394865181587278,0.47232882286157996,0.07746364127430189
2,mean_operational_readiness,30,0.44475748164142276,0.00466956020274216,0.44301383920575743,0.4465011240770881,0.00348728487133064
2,D1,30,0.44939811743388275,0.012037614561202833,0.44490319828480096,0.45389303658296454,0.0089898382981636
2,D2,30,0.43964472945695365,0.008050348510586095,0.4366386799200594,0.4426507789938479,0.006012099073788554
2,D3,30,0.44566840946635966,0.012178304764205405,0.441120955732095,0.45021586320062434,0.009094907468529406
2,D4,30,0.44039578111455924,0.010195916672210705,0.4365885632592815,0.44420299896983695,0.007614435710555402
2,D5,30,0.44868037073535877,0.010926750606011412,0.4446002550042488,0.4527604864664687,0.008160231462219896
2,SVC,30,0.44696361698419157,0.010826822806935274,0.4429208149064894,0.45100641906189376,0.008085604155404375
2,E_GMI_DBL,30,0.44479336897634897,0.004791012613845363,0.44300437546505367,0.44658236248764427,0.0035779870225906463
2,E_GMI_DMM,30,0.4444856663322173,0.004792629539894778,0.44269606905081244,0.4462752636136222,0.0035791945628097176
2,E_GMI_ISF,30,0.44458580626630606,0.004298308570412026,0.4429807914684343,0.44619082106417784,0.0032100295957435713
3,success_rate,30,0.4480000000000001,0.06070846103616291,0.4253310880959569,0.47066891190404336,0.04533782380808645
3,volume_success_rate,30,0.44586503288135826,0.08433810015748974,0.4143726687200323,0.4773573970426842,0.06298472832265188
3,mean_operational_readiness,30,0.44297563050559396,0.004592443641449796,0.4412607838671609,0.44469047714402704,0.0034296932768661374
3,D1,30,0.4494779449817099,0.011840796230509685,0.44505651900513543,0.45389937095828436,0.008842851953148986
3,D2,30,0.43664273520912406,0.007936312860122464,0.4336792672839221,0.439606203134326,0.005926935850403912
3,D3,30,0.44301001513328997,0.012016529497903883,0.4385229692762379,0.44749706099034203,0.008974091714104078
3,D4,30,0.43745062158087117,0.010032973074764294,0.4337042478648254,0.4411969952969169,0.007492747432091541
3,D5,30,0.448296835622975,0.01077844171197134,0.4442720993430354,0.4523215719029146,0.008049472559879157
3,SVC,30,0.44701343673925237,0.010690054121498805,0.4430217049280085,0.4510051685504962,0.007983463622487745
3,E_GMI_DBL,30,0.44303468597353074,0.004729816957946076,0.44126854329569115,0.44480082865137033,0.003532285355679185
3,E_GMI_DMM,30,0.4425708555923392,0.004739758731811409,0.44080100059512806,0.4443407105895504,0.0035397099944223386
3,E_GMI_ISF,30,0.4428472906172219,0.004254697188284238,0.44125856057706914,0.44443602065737464,0.0031774600803055344
4,success_rate,30,0.4453333333333333,0.07200255423311006,0.4184471377204321,0.4722195289462345,0.0537723912258024
4,volume_success_rate,30,0.44374237442583486,0.07971863280390647,0.4139749477228906,0.4735098011287791,0.0595348534058885
4,mean_operational_readiness,30,0.4411870028755426,0.004620188012348307,0.43946179631875554,0.4429122094323296,0.0034504131135741317
4,D1,30,0.4495969851252142,0.011677210943885559,0.4452366428985485,0.4539573273518799,0.008720684453331424
4,D2,30,0.433427999438377,0.007951338667513514,0.4304589207844855,0.4363970780922685,0.005938157307783038
4,D3,30,0.44083998351001313,0.012522905919123615,0.43616385358976806,0.4455161134302582,0.009352259840490183
4,D4,30,0.4340827148098429,0.010166097531708359,0.4302866316046216,0.4378787980150642,0.007592166410442547
4,D5,30,0.44798733149426595,0.010814015822620484,0.44394931162310025,0.45202535136543165,0.008076039742331361
4,SVC,30,0.44706314673288766,0.01055399738090702,0.4431222193435281,0.45100407412224724,0.00788185477871919
4,E_GMI_DBL,30,0.44126748555709,0.004742023136088378,0.43949678501742573,0.44303818609675427,0.0035414010793285815
4,E_GMI_DMM,30,0.4406552096951029,0.004775383287508754,0.43887205227017506,0.44243836712003076,0.003566314849855677
4,E_GMI_ISF,30,0.4410945843994048,0.00430302756040673,0.4394878075017097,0.4427013612970999,0.0032135537953902164
5,success_rate,30,0.4346666666666668,0.06146113621116856,0.411716701233291,0.4576166321000426,0.04589993086675163
5,volume_success_rate,30,0.420882165150679,0.06298504947834276,0.39736316115145326,0.44440116914990474,0.04703800799845149
5,mean_operational_readiness,30,0.439382394921517,0.004544121540153623,0.43768559205224894,0.441079197790785,0.003393605738536063
5,D1,30,0.44961075171553855,0.011570437792155991,0.4452902792389697,0.4539312241921074,0.008640944953137775
5,D2,30,0.43038172260128427,0.007786526405471396,0.4274741858574523,0.43328925934511625,0.005815073487664016
5,D3,30,0.43861539545757977,0.012119036440477368,0.4340900728791105,0.44314071803604904,0.009050645156938576
5,D4,30,0.43077623531226694,0.01025557109573908,0.42694674212915895,0.43460572849537493,0.007658986366215926
5,D5,30,0.4475278695209158,0.0107700132518839,0.44350628047969626,0.4515494585621353,0.008043178082439015
5,SVC,30,0.44711269497344813,0.01041868281792891,0.4432222948722973,0.45100309507459896,0.007780800202301657
5,E_GMI_DBL,30,0.43948653903124807,0.0046615634866128165,0.43774588261845937,0.44122719544403677,0.003481312825577421
5,E_GMI_DMM,30,0.4387325209187031,0.0046751951368425556,0.4369867743640644,0.44047826747334173,0.0034914931092772696
5,E_GMI_ISF,30,0.43934087746677025,0.004252219767411298,0.4377530725107748,0.4409286824227657,0.0031756099119909583
6,success_rate,30,0.4373333333333334,0.05526945488855631,0.4166953797026715,0.4579712869639953,0.04127590726132378
6,volume_success_rate,30,0.4389212758971303,0.07595639954782213,0.41055869017992336,0.46728386161433727,0.0567251714344139
6,mean_operational_readiness,30,0.43760521092158394,0.004505340881983388,0.4359228889880642,0.4392875328551037,0.003364643867039495
6,D1,30,0.44967691124302184,0.011569991053767865,0.44535660558130863,0.45399721690473505,0.00864061132342647
6,D2,30,0.42736213785052984,0.008013642804634317,0.424369794449492,0.43035448125156767,0.00598468680207569
6,D3,30,0.436109599770763,0.012335212013125757,0.43150355590684963,0.4407156436346764,0.009212087727826786
6,D4,30,0.42772205912680633,0.010553470877328625,0.42378132833711396,0.4316627899164987,0.007881461579384795
6,D5,30,0.44715534661679873,0.010573783496125144,0.4432070309705941,0.45110366226300336,0.00789663129240929
6,SVC,30,0.447162061598711,0.010284143776575716,0.44332189920123505,0.451002223996187,0.007680324794951988
6,E_GMI_DBL,30,0.43773128915289516,0.004627810691374065,0.43600323624098136,0.43945934206480897,0.003456105823827642
6,E_GMI_DMM,30,0.43682514659046706,0.004637404280949495,0.43509351137333224,0.4385567818076019,0.0034632704342696503
6,E_GMI_ISF,30,0.4376058824197751,0.004230041510360934,0.43602635896106484,0.43918540587848537,0.003159046917420549
7,success_rate,30,0.436,0.07228296885302164,0.40900909584718714,0.46299090415281285,0.05398180830562575
7,volume_success_rate,30,0.41926451104888535,0.10001348008812634,0.38191886382544493,0.45661015827232576,0.07469129444688082
7,mean_operational_readiness,30,0.43586275522541507,0.0044906318612093,0.43418592573051806,0.43753958472031207,0.0033536589897940013
7,D1,30,0.44967608329584247,0.011510098872358304,0.4453781417422114,0.4539740248494735,0.008595883107262153
7,D2,30,0.4241624990716951,0.007967714637059793,0.42118730553027967,0.4271376926131106,0.005950387082830927
7,D3,30,0.43422399292382935,0.012242934489602963,0.4296524060534842,0.4387955797941745,0.009143173740690284
7,D4,30,0.4245679864532332,0.01018877753894746,0.4207634343941271,0.42837253851233925,0.0076091041182121425
7,D5,30,0.446683214382475,0.010446923104463223,0.44278226918502844,0.45058415957992154,0.007801890394893096
7,SVC,30,0.44721124042446253,0.010150408461471505,0.4434210156143477,0.45100146523457735,0.007580449620229606
7,E_GMI_DBL,30,0.4360123986710835,0.004628321347837527,0.4342841550769124,0.43774064226525455,0.003456487188342106
7,E_GMI_DMM,30,0.43498193918675176,0.004650603343888324,0.43324537535851615,0.4367185030149874,0.0034731276564712804
7,E_GMI_ISF,30,0.4359155578296137,0.004209782756450442,0.4343435991139367,0.4374875165452907,0.003143917431354049
8,success_rate,30,0.428,0.08575828099152111,0.39597733159994053,0.46002266840005945,0.06404533680011898
