code,scenario,seed,framework,classification_agreement,minimum_required_agreement,accepted
P13,lenient_partition,9006,DMM,0.86,0.85,True
P13,lenient_partition,9006,ISF,0.52,0.85,False
P13,lenient_partition,9007,DBL,0.64,0.85,False
P13,lenient_partition,9007,DMM,0.92,0.85,True
P13,lenient_partition,9007,ISF,0.54,0.85,False
P13,lenient_partition,9008,DBL,0.82,0.85,False
P13,lenient_partition,9008,DMM,0.96,0.85,True
P13,lenient_partition,9008,ISF,0.62,0.85,False
P13,lenient_partition,9009,DBL,0.72,0.85,False
P13,lenient_partition,9009,DMM,0.92,0.85,True
P13,lenient_partition,9009,ISF,0.6,0.85,False
P13,lenient_partition,9010,DBL,0.68,0.85,False
P13,lenient_partition,9010,DMM,0.96,0.85,True
P13,lenient_partition,9010,ISF,0.6,0.85,False
P13,lenient_partition,9011,DBL,0.74,0.85,False
P13,lenient_partition,9011,DMM,0.96,0.85,True
P13,lenient_partition,9011,ISF,0.6,0.85,False
P13,lenient_partition,9012,DBL,0.64,0.85,False
P13,lenient_partition,9012,DMM,0.94,0.85,True
P13,lenient_partition,9012,ISF,0.52,0.85,False
P13,lenient_partition,9013,DBL,0.68,0.85,False
P13,lenient_partition,9013,DMM,0.82,0.85,False
P13,lenient_partition,9013,ISF,0.56,0.85,False
P13,lenient_partition,9014,DBL,0.7,0.85,False
P13,lenient_partition,9014,DMM,0.96,0.85,True
P13,lenient_partition,9014,ISF,0.6,0.85,False
P13,lenient_partition,9015,DBL,0.7,0.85,False
P13,lenient_partition,9015,DMM,0.94,0.85,True
P13,lenient_partition,9015,ISF,0.56,0.85,False
P13,lenient_partition,9016,DBL,0.72,0.85,False
P13,lenient_partition,9016,DMM,0.96,0.85,True
P13,lenient_partition,9016,ISF,0.6,0.85,False
P13,lenient_partition,9017,DBL,0.68,0.85,False
P13,lenient_partition,9017,DMM,0.98,0.85,True
P13,lenient_partition,9017,ISF,0.56,0.85,False
P13,lenient_partition,9018,DBL,0.68,0.85,False
P13,lenient_partition,9018,DMM,0.88,0.85,True
P13,lenient_partition,9018,ISF,0.58,0.85,False
P13,lenient_partition,9019,DBL,0.76,0.85,False
P13,lenient_partition,9019,DMM,0.96,0.85,True
P13,lenient_partition,9019,ISF,0.64,0.85,False
P13,lenient_partition,9020,DBL,0.64,0.85,False
P13,lenient_partition,9020,DMM,0.94,0.85,True
P13,lenient_partition,9020,ISF,0.54,0.85,False
P13,lenient_partition,9021,DBL,0.74,0.85,False
P13,lenient_partition,9021,DMM,0.94,0.85,True
P13,lenient_partition,9021,ISF,0.58,0.85,False
P13,lenient_partition,9022,DBL,0.58,0.85,False
P13,lenient_partition,9022,DMM,0.94,0.85,True
P13,lenient_partition,9022,ISF,0.52,0.85,False
P13,lenient_partition,9023,DBL,0.76,0.85,False
P13,lenient_partition,9023,DMM,0.98,0.85,True
P13,lenient_partition,9023,ISF,0.62,0.85,False
P13,lenient_partition,9024,DBL,0.74,0.85,False
P13,lenient_partition,9024,DMM,0.9,0.85,True
P13,lenient_partition,9024,ISF,0.56,0.85,False
P13,lenient_partition,9025,DBL,0.76,0.85,False
P13,lenient_partition,9025,DMM,0.92,0.85,True
P13,lenient_partition,9025,ISF,0.6,0.85,False
P13,lenient_partition,9026,DBL,0.7,0.85,False
P13,lenient_partition,9026,DMM,0.92,0.85,True
P13,lenient_partition,9026,ISF,0.62,0.85,False
P13,lenient_partition,9027,DBL,0.68,0.85,False
P13,lenient_partition,9027,DMM,0.92,0.85,True
P13,lenient_partition,9027,ISF,0.56,0.85,False
P13,lenient_partition,9028,DBL,0.78,0.85,False
P13,lenient_partition,9028,DMM,0.92,0.85,True
P13,lenient_partition,9028,ISF,0.62,0.85,False
P13,lenient_partition,9029,DBL,0.76,0.85,False
P13,lenient_partition,9029,DMM,0.94,0.85,True
P13,lenient_partition,9029,ISF,0.72,0.85,False
P13,strict_partition,9000,DBL,1.0,0.85,True
P13,strict_partition,9000,DMM,1.0,0.85,True
P13,strict_partition,9000,ISF,1.0,0.85,True
P13,strict_partition,9001,DBL,1.0,0.85,True
P13,strict_partition,9001,DMM,1.0,0.85,True
P13,strict_partition,9001,ISF,1.0,0.85,True
P13,strict_partition,9002,DBL,1.0,0.85,True
P13,strict_partition,9002,DMM,1.0,0.85,True
P13,strict_partition,9002,ISF,1.0,0.85,True
P13,strict_partition,9003,DBL,0.96,0.85,True
P13,strict_partition,9003,DMM,0.96,0.85,True
P13,strict_partition,9003,ISF,0.96,0.85,True
P13,strict_partition,9004,DBL,1.0,0.85,True
P13,strict_partition,9004,DMM,1.0,0.85,True
P13,strict_partition,9004,ISF,1.0,0.85,True
P13,strict_partition,9005,DBL,0.98,0.85,True
P13,strict_partition,9005,DMM,0.98,0.85,True
P13,strict_partition,9005,ISF,0.98,0.85,True
P13,strict_partition,9006,DBL,1.0,0.85,True
P13,strict_partition,9006,DMM,1.0,0.85,True
P13,strict_partition,9006,ISF,0.98,0.85,True
P13,strict_partition,9007,DBL,1.0,0.85,True
P13,strict_partition,9007,DMM,1.0,0.85,True
P13,strict_partition,9007,ISF,1.0,0.85,True
P13,strict_partition,9008,DBL,0.98,0.85,True
P13,strict_partition,9008,DMM,1.0,0.85,True
P13,strict_partition,9008,ISF,0.98,0.85,True
P13,strict_partition,9009,DBL,0.98,0.85,True
P13,strict_partition,9009,DMM,0.98,0.85,True
P13,strict_partition,9009,ISF,0.96,0.85,True
P13,strict_partition,9010,DBL,1.0,0.85,True
