code,scenario,framework,absolute_E_GMI_difference,maximum_allowed_E_GMI_difference,absolute_threshold_difference,maximum_allowed_threshold_difference,ranking_match_fraction,minimum_required_ranking_match_fraction,mean_dimension_rank_correlation,minimum_required_dimension_rank_correlation,accepted
P21,freshness_K_10,ISF,0.00020023615461220445,0.02,0.0,0.1,1.0,0.9,,0.9,True
P21,freshness_K_20,DBL,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P21,freshness_K_20,DMM,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P21,freshness_K_20,ISF,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P21,freshness_K_40,DBL,0.0003802604742857152,0.02,0.0,0.1,1.0,0.9,,0.9,True
P21,freshness_K_40,DMM,0.0004563125691428166,0.02,0.0,0.1,1.0,0.9,,0.9,True
P21,freshness_K_40,ISF,0.00038026047428568743,0.02,0.0,0.1,1.0,0.9,,0.9,True
P3,D2_encryption_heavy,DBL,0.00010112050612251511,0.02,0.0,0.1,1.0,0.9,0.16887083953159818,0.9,False
P3,D2_encryption_heavy,DMM,9.978893415131529e-05,0.02,0.0,0.1,1.0,0.9,0.16887083953159818,0.9,False
P3,D2_encryption_heavy,ISF,7.928410286789367e-05,0.02,0.0,0.1,1.0,0.9,0.16887083953159818,0.9,False
P3,D2_equal,DBL,3.626067812531608e-05,0.02,0.0,0.1,1.0,0.9,0.1910360855061025,0.9,False
P3,D2_equal,DMM,1.950683999170366e-05,0.02,0.0,0.1,1.0,0.9,0.1910360855061025,0.9,False
P3,D2_equal,ISF,5.6853534070033795e-06,0.02,0.0,0.1,1.0,0.9,0.1910360855061025,0.9,False
P3,D2_incident_heavy,DBL,7.440147078924264e-05,0.02,0.0,0.1,1.0,0.9,0.1736956733269587,0.9,False
P3,D2_incident_heavy,DMM,0.00010399615454399769,0.02,0.0,0.1,1.0,0.9,0.1736956733269587,0.9,False
P3,D2_incident_heavy,ISF,7.73943690693113e-05,0.02,0.0,0.1,1.0,0.9,0.1736956733269587,0.9,False
