code,scenario,framework,shock_type,impact,mean_affected_fraction,mean_dimension_loss,mean_E_GMI_loss,E_GMI_loss_ci_lower,E_GMI_loss_ci_upper,ranking_preserved_fraction
P12,network_m_2,DBL,security,0.3,0.9960000000000001,0.006720178275322789,0.0013387181460640394,0.0012329314637497437,0.001444504828378335,1.0
P12,network_m_2,DMM,security,0.3,0.9960000000000001,0.006720178275322789,0.0013387181460640357,0.0012329314637497405,0.0014445048283783309,1.0
P12,network_m_2,ISF,security,0.3,0.9960000000000001,0.006720178275322789,0.0013387181460640394,0.001232931463749744,0.0014445048283783348,1.0
P12,network_m_3,DBL,security,0.3,0.9993333333333333,0.005825764202719366,0.0011644330428636598,0.0011077970151260612,0.0012210690706012583,1.0
P12,network_m_3,DMM,security,0.3,0.9993333333333333,0.005825764202719366,0.0011644330428636602,0.0011077970151260601,0.0012210690706012603,1.0
P12,network_m_3,ISF,security,0.3,0.9993333333333333,0.005825764202719366,0.0011644330428636663,0.0011077970151260653,0.0012210690706012672,1.0
P12,network_m_5,DBL,security,0.3,1.0,0.005479600813858305,0.0010959201627716555,0.0010380746469646688,0.0011537656785786422,1.0
P12,network_m_5,DMM,security,0.3,1.0,0.005479600813858305,0.0010959201627716616,0.0010380746469646764,0.0011537656785786468,1.0
P12,network_m_5,ISF,security,0.3,1.0,0.005479600813858305,0.0010959201627716547,0.0010380746469646704,0.001153765678578639,1.0
P14,data_quality_baseline,DBL,data_quality,0.1,1.0,0.08619481646709043,0.021548704116772618,0.0214292432042291,0.021668165029316136,1.0
P14,data_quality_baseline,DMM,data_quality,0.1,1.0,0.08619481646709043,0.018962859622759898,0.018857734019721604,0.019067985225798192,1.0
P14,data_quality_baseline,ISF,data_quality,0.1,1.0,0.08619481646709043,0.017238963293418088,0.017143394563383273,0.017334532023452903,1.0
P14,data_quality_minus_50,DBL,data_quality,0.05,1.0,0.04406707022140224,0.011016767555350563,0.010962775410842882,0.011070759699858244,1.0
P14,data_quality_minus_50,DMM,data_quality,0.05,1.0,0.04406707022140224,0.009694755448708492,0.009647242361541734,0.009742268535875249,1.0
P14,data_quality_minus_50,ISF,data_quality,0.05,1.0,0.04406707022140224,0.008813414044280451,0.008770220328674305,0.008856607759886597,1.0
P14,data_quality_plus_50,DBL,data_quality,0.15,1.0,0.12776774393918885,0.03194193598479721,0.03175599302103392,0.03212787894856049,1.0
P14,data_quality_plus_50,DMM,data_quality,0.15,1.0,0.12776774393918885,0.028108903666621544,0.02794527385850985,0.028272533474733238,1.0
P14,data_quality_plus_50,ISF,data_quality,0.15,1.0,0.12776774393918885,0.025553548787837777,0.025404794416827144,0.02570230315884841,1.0
P14,regulatory_baseline,DBL,regulatory,0.1,1.0,0.0058375324928002575,0.0011675064985600485,0.0011058313210680609,0.0012291816760520362,1.0
P14,regulatory_baseline,DMM,regulatory,0.1,1.0,0.0058375324928002575,0.0012842571484160588,0.001216414453174876,0.0013520998436572416,1.0
P14,regulatory_baseline,ISF,regulatory,0.1,1.0,0.0058375324928002575,0.0011675064985600502,0.0011058313210680648,0.0012291816760520357,1.0
P14,regulatory_minus_50,DBL,regulatory,0.05,1.0,0.005769558704130423,0.0011539117408260803,0.0010940765339651456,0.001213746947687015,1.0
P14,regulatory_minus_50,DMM,regulatory,0.05,1.0,0.005769558704130423,0.0012693029149086937,0.001203484187361669,0.0013351216424557183,1.0
P14,regulatory_minus_50,ISF,regulatory,0.05,1.0,0.005769558704130423,0.001153911740826084,0.0010940765339651514,0.0012137469476870165,1.0
P14,regulatory_plus_50,DBL,regulatory,0.15,1.0,0.005855005643127452,0.0011710011286254856,0.001108454852661722,0.001233547404589249,1.0
P14,regulatory_plus_50,DMM,regulatory,0.15,1.0,0.005855005643127452,0.0012881012414880401,0.0012193003379279035,0.0013569021450481767,1.0
P14,regulatory_plus_50,ISF,regulatory,0.15,1.0,0.005855005643127452,0.0011710011286254892,0.001108454852661727,0.0012335474045892514,1.0
P14,security_baseline,DBL,security,0.3,0.9993333333333333,0.005825764202719366,0.0011644330428636598,0.0011077970151260612,0.0012210690706012583,1.0
P14,security_baseline,DMM,security,0.3,0.9993333333333333,0.005825764202719366,0.0011644330428636602,0.0011077970151260601,0.0012210690706012603,1.0
P14,security_baseline,ISF,security,0.3,0.9993333333333333,0.005825764202719366,0.0011644330428636663,0.0011077970151260653,0.0012210690706012672,1.0
P14,security_minus_50,DBL,security,0.15,0.9993333333333333,0.0057783528836624415,0.0011549507790522735,0.0011023275554763682,0.0012075740026281788,1.0
P14,security_minus_50,DMM,security,0.15,0.9993333333333333,0.0057783528836624415,0.0011549507790522768,0.0011023275554763686,0.0012075740026281849,1.0
P14,security_minus_50,ISF,security,0.15,0.9993333333333333,0.0057783528836624415,0.0011549507790522783,0.0011023275554763708,0.0012075740026281858,1.0
P14,security_plus_50,DBL,security,0.45,0.9993333333333333,0.005850764202719367,0.0011694330428636591,0.001107819440303895,0.0012310466454234232,1.0
P14,security_plus_50,DMM,security,0.45,0.9993333333333333,0.005850764202719367,0.0011694330428636606,0.0011078194403038944,0.001231046645423427,1.0
P14,security_plus_50,ISF,security,0.45,0.9993333333333333,0.005850764202719367,0.0011694330428636648,0.0011078194403038991,0.0012310466454234304,1.0
