code,scenario,seed,framework,E_GMI,recommended_threshold,framework_ranking,evaluation_basis,network_edge_count,network_density,success_rate,volume_success_rate,mean_operational_readiness,D1,D2,D3,D4,D5,SVC
P1,baseline,9000,DBL,0.14234534782289499,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1436,0.14347161572052403,0.1401958544766182,0.3706434531865858,0.005651200000000004,0.006211200000000003,0.005296,0.3131774191965052,0.4500002046536257
P1,baseline,9000,DMM,0.12226369998563208,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1436,0.14347161572052403,0.1401958544766182,0.3706434531865858,0.005651200000000004,0.006211200000000003,0.005296,0.3131774191965052,0.4500002046536257
P1,baseline,9000,ISF,0.15330528005480476,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1436,0.14347161572052403,0.1401958544766182,0.3706434531865858,0.005651200000000004,0.006211200000000003,0.005296,0.3131774191965052,0.4500002046536257
P1,baseline,9001,DBL,0.1453147787158181,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1364,0.13745803357314149,0.14356423279933828,0.3755167441309248,0.005843200000000003,0.007447939973846127,0.007752897109754897,0.32126038278216557,0.45000013412798295
P1,baseline,9001,DMM,0.12494136660060948,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1364,0.13745803357314149,0.14356423279933828,0.3755167441309248,0.005843200000000003,0.007447939973846127,0.007752897109754897,0.32126038278216557,0.45000013412798295
P1,baseline,9001,ISF,0.1556327535290876,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1364,0.13745803357314149,0.14356423279933828,0.3755167441309248,0.005843200000000003,0.007447939973846127,0.007752897109754897,0.32126038278216557,0.45000013412798295
P1,baseline,9002,DBL,0.14431721187496943,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.15200000000000002,0.15537837837837837,0.14129019359120043,0.3717283098152235,0.005195200000000003,0.00882200430258577,0.005328000000000002,0.31537745383819277,0.4499998960645335
P1,baseline,9002,DMM,0.12417973416622269,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.15200000000000002,0.15537837837837837,0.14129019359120043,0.3717283098152235,0.005195200000000003,0.00882200430258577,0.005328000000000002,0.31537745383819277,0.4499998960645335
P1,baseline,9002,ISF,0.15497927599919642,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.15200000000000002,0.15537837837837837,0.14129019359120043,0.3717283098152235,0.005195200000000003,0.00882200430258577,0.005328000000000002,0.31537745383819277,0.4499998960645335
P1,baseline,9003,DBL,0.15320568965725426,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1592,0.15092250922509223,0.15228463680286863,0.38453729112330537,0.009678386501510542,0.019977555475462958,0.010063353887718252,0.337166597026346,0.4499999380828315
P1,baseline,9003,DMM,0.1324652451867341,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1592,0.15092250922509223,0.15228463680286863,0.38453729112330537,0.009678386501510542,0.019977555475462958,0.010063353887718252,0.337166597026346,0.4499999380828315
P1,baseline,9003,ISF,0.1621968216202695,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1592,0.15092250922509223,0.15228463680286863,0.38453729112330537,0.009678386501510542,0.019977555475462958,0.010063353887718252,0.337166597026346,0.4499999380828315
P1,baseline,9004,DBL,0.1423518286012461,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.13,0.1289121338912134,0.14040941828960876,0.3693234685325491,0.004815200000000002,0.007946105223288417,0.006154400000000001,0.31380791769220623,0.449999922188056
P1,baseline,9004,DMM,0.12242524187277783,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.13,0.1289121338912134,0.14040941828960876,0.3693234685325491,0.004815200000000002,0.007946105223288417,0.006154400000000001,0.31380791769220623,0.449999922188056
P1,baseline,9004,ISF,0.15340904186555918,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.13,0.1289121338912134,0.14040941828960876,0.3693234685325491,0.004815200000000002,0.007946105223288417,0.006154400000000001,0.31380791769220623,0.449999922188056
P1,baseline,9005,DBL,0.14388253434215809,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1336,0.1578396624472574,0.14185156935892151,0.37052583439936065,0.006558565303956694,0.013121972088623306,0.005868000000000001,0.3131834750026669,0.45000006280877863
P1,baseline,9005,DMM,0.12402765190657422,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1336,0.1578396624472574,0.14185156935892151,0.37052583439936065,0.006558565303956694,0.013121972088623306,0.005868000000000001,0.3131834750026669,0.45000006280877863
P1,baseline,9005,ISF,0.15484226157954223,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1336,0.1578396624472574,0.14185156935892151,0.37052583439936065,0.006558565303956694,0.013121972088623306,0.005868000000000001,0.3131834750026669,0.45000006280877863
P1,baseline,9006,DBL,0.14832251326351667,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.13799999999999998,0.15323283082077052,0.1465225850044095,0.379443144030652,0.005289676245318699,0.01298959858475951,0.007384780467624,0.3275057256936934,0.45000016829012957
P1,baseline,9006,DMM,0.12779093609241615,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.13799999999999998,0.15323283082077052,0.1465225850044095,0.379443144030652,0.005289676245318699,0.01298959858475951,0.007384780467624,0.3275057256936934,0.45000016829012957
P1,baseline,9006,ISF,0.1580778145890152,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.13799999999999998,0.15323283082077052,0.1465225850044095,0.379443144030652,0.005289676245318699,0.01298959858475951,0.007384780467624,0.3275057256936934,0.45000016829012957
P1,baseline,9007,DBL,0.14513374264002427,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1456,0.1551974386339381,0.14260939856577295,0.3751532692645829,0.005643200000000004,0.006840993450217835,0.005770400000000002,0.31963913011406403,0.4500000292769118
P1,baseline,9007,DMM,0.12474408274126102,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1456,0.1551974386339381,0.14260939856577295,0.3751532692645829,0.005643200000000004,0.006840993450217835,0.005770400000000002,0.31963913011406403,0.4500000292769118
P1,baseline,9007,ISF,0.15548297785313175,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1456,0.1551974386339381,0.14260939856577295,0.3751532692645829,0.005643200000000004,0.006840993450217835,0.005770400000000002,0.31963913011406403,0.4500000292769118
P1,baseline,9008,DBL,0.14250437516961045,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1432,0.13793179317931795,0.14023157105645423,0.36722436316208923,0.007622382461156881,0.012036315416602954,0.005529600000000003,0.30874519424242225,0.4499999761219662
P1,baseline,9008,DMM,0.12278590753059218,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1432,0.13793179317931795,0.14023157105645423,0.36722436316208923,0.007622382461156881,0.012036315416602954,0.005529600000000003,0.30874519424242225,0.4499999761219662
P1,baseline,9008,ISF,0.15371435613824116,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1432,0.13793179317931795,0.14023157105645423,0.36722436316208923,0.007622382461156881,0.012036315416602954,0.005529600000000003,0.30874519424242225,0.4499999761219662
P1,baseline,9009,DBL,0.1461022251236326,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.118,0.1317008014247551,0.14462459685644205,0.3744977497158658,0.005986148574415674,0.014750990158390027,0.006032000000000002,0.3218560958335388,0.4499999477957271
P1,baseline,9009,DMM,0.12609583969722324,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.118,0.1317008014247551,0.14462459685644205,0.3744977497158658,0.005986148574415674,0.014750990158390027,0.006032000000000002,0.3218560958335388,0.4499999477957271
P1,baseline,9009,ISF,0.15656034035138874,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.118,0.1317008014247551,0.14462459685644205,0.3744977497158658,0.005986148574415674,0.014750990158390027,0.006032000000000002,0.3218560958335388,0.4499999477957271
P1,baseline,9010,DBL,0.14417095279919923,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1528,0.1471235521235521,0.14130142923291417,0.3715741371255761,0.005928000000000004,0.007167200000000005,0.005975200000000001,0.3158626090389949,0.4499999757031081
P1,baseline,9010,DMM,0.1239657908110795,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1528,0.1471235521235521,0.14130142923291417,0.3715741371255761,0.005928000000000004,0.007167200000000005,0.005975200000000001,0.3158626090389949,0.4499999757031081
P1,baseline,9010,ISF,0.1548183480656701,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.1528,0.1471235521235521,0.14130142923291417,0.3715741371255761,0.005928000000000004,0.007167200000000005,0.005975200000000001,0.3158626090389949,0.4499999757031081
P1,baseline,9011,DBL,0.1426198192306263,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.13879999999999998,0.12919540229885057,0.14056207878741606,0.36878613704803165,0.006336405287642494,0.008016280717146012,0.006432000000000004,0.3132395708842602,0.4500002633786121
P1,baseline,9011,DMM,0.12257331534037641,0.0,ISF>DBL>DMM,shared_simulation,141,0.11510204081632654,0.13879999999999998,0.12919540229885057,0.14056207878741606,0.36878613704803165,0.006336405287642494,0.008016280717146012,0.006432000000000004,0.3132395708842602,0.4500002633786121
