code,scenario,seed,dimension,spearman_rank_correlation,accepted
P3,D2_equal,9006,D2,0.1703284118850688,False
P3,D2_equal,9007,D2,0.10350439542809672,False
P3,D2_equal,9008,D2,0.24979653952123013,False
P3,D2_equal,9009,D2,0.18326089336483664,False
P3,D2_equal,9010,D2,-0.0947270024745,False
P3,D2_equal,9011,D2,0.2166904700901766,False
P3,D2_equal,9012,D2,-0.21882928851154662,False
P3,D2_equal,9013,D2,0.3633033858690289,False
P3,D2_equal,9014,D2,0.045879094516217946,False
P3,D2_equal,9015,D2,0.22878947209193928,False
P3,D2_equal,9016,D2,0.22042429262022842,False
P3,D2_equal,9017,D2,-0.11414534508003257,False
P3,D2_equal,9018,D2,0.023812678239153263,False
P3,D2_equal,9019,D2,0.96444407983063,True
P3,D2_equal,9020,D2,0.21379551106137543,False
P3,D2_equal,9021,D2,0.08996154339626439,False
P3,D2_equal,9022,D2,0.2745489813393163,False
P3,D2_equal,9023,D2,0.25782133001375596,False
P3,D2_equal,9024,D2,0.2172893523791784,False
P3,D2_equal,9025,D2,0.16208363501771336,False
P3,D2_equal,9026,D2,0.13444044906174862,False
P3,D2_equal,9027,D2,0.10974669105892769,False
P3,D2_equal,9028,D2,0.19599922452751403,False
P3,D2_equal,9029,D2,0.19682985694142485,False
P3,D2_encryption_heavy,9000,D2,-0.01983756357321669,False
P3,D2_encryption_heavy,9001,D2,0.09047229989441487,False
P3,D2_encryption_heavy,9002,D2,0.27960853116251444,False
P3,D2_encryption_heavy,9003,D2,0.18400802895259605,False
P3,D2_encryption_heavy,9004,D2,0.33072072379069395,False
P3,D2_encryption_heavy,9005,D2,0.06851973597728458,False
P3,D2_encryption_heavy,9006,D2,0.1464264140505844,False
P3,D2_encryption_heavy,9007,D2,0.025875025827958552,False
P3,D2_encryption_heavy,9008,D2,-0.03876922242710778,False
P3,D2_encryption_heavy,9009,D2,0.2289904105333849,False
P3,D2_encryption_heavy,9010,D2,0.1834246644985613,False
P3,D2_encryption_heavy,9011,D2,0.05315418624310949,False
P3,D2_encryption_heavy,9012,D2,0.09501041636882901,False
P3,D2_encryption_heavy,9013,D2,0.004563290750571071,False
P3,D2_encryption_heavy,9014,D2,0.2136551989674278,False
P3,D2_encryption_heavy,9015,D2,0.2084947103304606,False
P3,D2_encryption_heavy,9016,D2,0.18814174968766628,False
P3,D2_encryption_heavy,9017,D2,0.1051467971681337,False
P3,D2_encryption_heavy,9018,D2,0.3637842483864155,False
P3,D2_encryption_heavy,9019,D2,0.2962061517223743,False
P3,D2_encryption_heavy,9020,D2,0.12948898787289742,False
P3,D2_encryption_heavy,9021,D2,-0.03708077168977357,False
P3,D2_encryption_heavy,9022,D2,0.5089412712616418,False
P3,D2_encryption_heavy,9023,D2,0.24050913339081886,False
P3,D2_encryption_heavy,9024,D2,0.10404682004320188,False
P3,D2_encryption_heavy,9025,D2,0.37239644557349805,False
P3,D2_encryption_heavy,9026,D2,0.33876273786262606,False
P3,D2_encryption_heavy,9027,D2,0.0692329960169631,False
P3,D2_encryption_heavy,9028,D2,0.19599922452751403,False
P3,D2_encryption_heavy,9029,D2,0.13623254277590072,False
P3,D2_incident_heavy,9000,D2,-0.06487314217691457,False
P3,D2_incident_heavy,9001,D2,0.20501651757827544,False
P3,D2_incident_heavy,9002,D2,-0.17602354178053708,False
P3,D2_incident_heavy,9003,D2,0.32309794820920296,False
P3,D2_incident_heavy,9004,D2,0.32830376947734896,False
P3,D2_incident_heavy,9005,D2,-0.06826077886236583,False
P3,D2_incident_heavy,9006,D2,0.11606208135033028,False
P3,D2_incident_heavy,9007,D2,0.3933564874313178,False
P3,D2_incident_heavy,9008,D2,0.31126320233918287,False
P3,D2_incident_heavy,9009,D2,0.28719638324875574,False
P3,D2_incident_heavy,9010,D2,-0.0485071289079536,False
P3,D2_incident_heavy,9011,D2,0.04192914883085284,False
P3,D2_incident_heavy,9012,D2,0.21270409449427127,False
P3,D2_incident_heavy,9013,D2,0.3884813216725297,False
P3,D2_incident_heavy,9014,D2,0.1861627532100964,False
P3,D2_incident_heavy,9015,D2,0.12297774079175942,False
P3,D2_incident_heavy,9016,D2,0.06871737012030442,False
P3,D2_incident_heavy,9017,D2,-0.16312123751196225,False
P3,D2_incident_heavy,9018,D2,0.36603652469449766,False
